xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,resp.rt,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,41.6945180893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,s,-200,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.320233107,s,1,None,0,0.440666913986,0.75,0.506582975388,0.0386810302734,[],0,None,105.319926023,0.467897891998,0.45,0.51531791687,0.00103211402893,0.467897891998,1,s,108.322692156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
-200,a,-200,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.324407101,a,1,None,0,,0.28,0.514910936356,0.0233950614929,0.384335041046,1,a,111.325658083,0.384335041046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
-200,q,200,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.326898098,q,1,None,0,,4.15,0.515332937241,0.00955009460449,0.300842046738,1,q,114.32921505,0.300842046738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,s,-200,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.330554008,s,1,None,0,,0.42,0.515023946762,0.00116395950317,0.351131916046,1,s,117.332377195,0.351131916046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,w,200,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.333733082,w,1,None,0,,1.89,0.515199899673,0.1775867939,0.401319980621,1,w,120.335762024,0.401319980621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,w,200,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.339353085,w,1,None,0,,0.79,0.515266180038,0.0351209640503,0.334085226059,0,s,123.339094162,0.350822925568,1.08,0.516122817993,0.000968933105469,0.350822925568,1,w,126.342638016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.343847036,a,1,None,0,,1.9,0.515079975128,0.0170319080353,0.384202003479,1,a,129.346532106,0.384202003479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
-200,q,200,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.347766161,q,1,None,0,,1.04,0.514560937881,0.0115768909454,0.367510080338,1,q,132.349224091,0.367510080338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,w,200,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.350682974,w,1,None,0,,3.85,0.515025138855,0.000949144363403,0.384291887283,1,w,135.352730036,0.384291887283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
-200,q,200,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.353898048,q,1,None,0,,0.6,0.515035867691,0.00120091438293,0.284208059311,1,q,138.356021166,0.284208059311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.559478045,,,,,,,,,,,,,,,,,,,,,go,diamondorange.gif,z,1,0.417217969894,None,0,0.00145411491394,0.515057086945,158.5621171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,z,0,-200,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.562549114,,,,,,,,,,,,,,,,,,,,,stop,squaregreen.gif,z,1,0.451255083084,None,0,0.00100302696228,0.515729904175,161.565363169,0.765610933304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.565765142,,,,,,,,,,,,,,,,,,,,,go,diamondorange.gif,z,1,0.450964927673,None,0,0.000967025756836,0.515691995621,164.568514109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.568929195,,,,,,,,,,,,,,,,,,,,,stop,invertedtrianglecyan.gif,m,1,0.467855930328,None,0,0.00102305412292,0.51579785347,167.571784973,0.765848875046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.572149038,,,,,,,,,,,,,,,,,,,,,stop,squaregreen.gif,None,0,,None,0,0.000977039337158,0.515967130661,170.57520318,0.766270160675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.5755651,,,,,,,,,,,,,,,,,,,,,stop,hexagongray.gif,None,0,,None,0,0.000982999801636,0.516015052795,173.578626156,0.766652107239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.579035044,,,,,,,,,,,,,,,,,,,,,stop,hexagongray.gif,None,0,,None,0,0.000976085662842,0.515894889832,176.582123995,0.766449928284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,m,0,200,,,,,,,,,,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.582633018,,,,,,,,,,,,,,,,,,,,,go,trianglemagenta.gif,m,1,0.784973144531,None,0,0.000982999801636,0.515416145325,179.58517909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.585540056,,,,,,,,,,,,,,,,,,,,,stop,squaregreen.gif,None,0,,None,0,0.0010130405426,0.516179084778,182.588750124,0.766536235809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,z,0,-200,,,,,,,,,,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.589109182,,,,,,,,,,,,,,,,,,,,,go,circleblue.gif,z,1,0.868383169174,None,0,0.000964879989624,0.515590906143,185.591722965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.95017814636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.7119069099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,204.444494009,w,1,None,0,,,,,,,,,0.417718172073,,,,,,,,,,,,,,,,,,,,,1.23,0.501376867294,0.00098991394043,0.417718172073,1,w,207.450510025,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,207.452094078,w,1,None,0,,,,,,,,,0.351207017899,,,,,,,,,,,,,,,,,,,,,1.76,0.513812065125,0.000930070877075,0.351207017899,1,w,210.45343399,,,,,,,,,,,,,,,,,,,,,,2015_Jun_03_1157,59.9747477997,LearningTask,1,1001,
