trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,jitterTime,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,0,0.58,,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
1,0,1,0,space,0,0.77,1.16777515411,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
2,0,2,0,space,0,0.8,1.1339328289,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
3,0,3,0,space,0,0.55,0.7503490448,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
4,0,4,0,space,0,0.5,0.750009059906,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
5,0,5,0,space,0,0.99,1.38409018517,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
6,0,6,0,space,0,0.9,1.13390922546,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
7,0,7,0,space,0,0.79,1.03415608406,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
8,0,8,0,space,0,0.66,0.916646003723,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
9,0,9,0,space,0,0.69,0.916729927063,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
10,0,10,0,space,0,0.67,0.916811943054,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
11,0,11,0,space,0,0.69,0.933758020401,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
12,0,12,0,space,0,0.71,0.967226028442,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
13,0,13,0,space,0,0.85,1.06748580933,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
14,0,14,0,space,0,0.71,1.00077104568,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
15,0,15,0,space,0,0.94,1.15057897568,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
16,0,16,0,space,0,0.85,1.0673930645,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
17,0,17,0,space,0,0.88,1.11718297005,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
18,0,18,0,space,0,0.99,1.20013904572,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
19,0,19,0,space,0,0.86,1.06761598587,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
20,0,20,0,space,0,0.61,0.83403301239,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
21,0,21,0,space,0,0.9,1.10043406487,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
22,0,22,0,space,0,0.77,1.00009608269,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
23,0,23,0,space,0,0.57,0.800365924835,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
24,0,24,0,space,0,0.89,1.08405184746,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
25,0,25,0,space,0,0.66,0.850501060486,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
26,0,26,0,space,0,0.87,1.06755399704,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
27,0,27,0,space,0,0.99,1.18370914459,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
28,0,28,0,space,0,0.82,1.03379178047,2015_Jun_03_0946,60.0316596105,DondersAuditory3,001,105,
