trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,space,0,1.16128897667,0.72,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
1,0,1,0,space,0,0.51617193222,0.93,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
2,0,2,0,space,0,0.900160074234,0.55,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
3,0,3,0,space,0,0.883911848068,0.63,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
4,0,4,0,space,0,1.1512169838,0.9,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
5,0,5,0,space,0,0.96724486351,0.69,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
6,0,6,0,space,0,1.25139379501,0.98,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
7,0,7,0,space,0,1.13411402702,0.85,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
8,0,8,0,space,0,1.06722402573,0.81,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
9,0,9,0,space,0,0.966952085495,0.7,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
10,0,10,0,space,0,0.933912992477,0.68,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
11,0,11,0,space,0,0.917330980301,0.65,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
12,0,12,0,space,0,0.800358057022,0.58,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
13,0,13,0,space,0,0.950936079025,0.7,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
14,0,14,0,space,0,1.00072693825,0.76,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
15,0,15,0,space,0,1.10071992874,0.78,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
16,0,16,0,space,0,0.850253105164,0.61,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
17,0,17,0,space,0,0.934125900269,0.69,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
18,0,18,0,space,0,0.900481939316,0.54,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
19,0,19,0,space,0,0.900463819504,0.67,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
20,0,20,0,space,0,1.11711716652,0.82,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
21,0,21,0,space,0,0.950958013535,0.66,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
22,0,22,0,space,0,0.834069013596,0.61,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
23,0,23,0,space,0,1.25073099136,0.96,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
24,0,24,0,space,0,1.08423709869,0.85,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
25,0,25,0,space,0,1.16758489609,0.92,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
26,0,26,0,space,0,0.984289169312,0.67,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
27,0,27,0,space,0,1.00069594383,0.76,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
28,0,28,0,space,0,0.96719121933,0.73,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
29,0,29,0,space,0,0.917235851288,0.68,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
30,0,30,0,space,0,0.800928115845,0.56,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
31,0,31,0,space,0,1.01715898514,0.78,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
32,0,32,0,space,0,1.03441500664,0.8,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
33,0,33,0,space,0,0.933985948563,0.69,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
34,0,34,0,space,0,1.01759815216,0.8,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
35,0,35,0,space,0,1.10076808929,0.82,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
36,0,36,0,space,0,0.967244148254,0.72,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
37,0,37,0,space,0,1.15062713623,0.85,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
38,0,38,0,space,0,0.733795881271,0.5,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
39,0,39,0,space,0,0.683357954025,0.52,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
40,0,40,0,space,0,0.783808946609,0.54,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
41,0,41,0,space,0,1.15060210228,0.91,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
42,0,42,0,space,0,0.900538921356,0.94,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
43,0,43,0,space,0,1.05022192001,0.78,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
44,0,44,0,space,0,1.10120892525,0.8,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
45,0,45,0,space,0,1.2340991497,0.99,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
46,0,46,0,space,0,0.917333126068,0.68,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
47,0,47,0,space,0,1.000426054,0.6,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
48,0,48,0,space,0,0.850816011429,0.63,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
49,0,49,0,space,0,1.20065188408,0.95,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
50,0,50,0,space,0,0.883577108383,0.52,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
51,0,51,0,space,0,1.21792697906,0.96,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
52,0,52,0,space,0,1.08450198174,0.75,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
53,0,53,0,space,0,0.884239912033,0.53,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
54,0,54,0,space,0,0.917158126831,0.69,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
55,0,55,0,space,0,1.05084609985,0.8,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
56,0,56,0,space,0,0.817540168762,0.57,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
57,0,57,0,space,0,0.867429018021,0.65,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
58,0,58,0,space,0,0.800331830978,0.56,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
59,0,59,0,space,0,0.716904878616,0.94,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
60,0,60,0,space,0,0.933591842651,0.66,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
61,0,61,0,space,0,0.800475120544,0.52,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
62,0,62,0,space,0,0.867119073868,0.64,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
63,0,63,0,space,0,0.817295074463,0.58,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
64,0,64,0,space,0,0.8002140522,0.57,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
65,0,65,0,space,0,0.783531188965,0.53,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
66,0,66,0,space,0,0.817414999008,0.57,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
67,0,67,0,space,0,0.883630990982,0.63,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
68,0,68,0,space,0,0.933464050293,0.7,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
69,0,69,0,space,0,1.11736297607,0.9,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
70,0,70,0,space,0,1.15080809593,0.91,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
71,0,71,0,space,0,0.799912929535,0.55,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
72,0,72,0,space,0,1.18417191505,0.92,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
73,0,73,0,space,0,1.16749000549,0.94,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
74,0,74,0,space,0,0.867254018784,0.61,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
75,0,75,0,space,0,0.783694982529,0.52,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
76,0,76,0,space,0,0.766981124878,0.88,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
77,0,77,0,space,0,1.15066289902,0.9,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
78,0,78,0,space,0,0.983642816544,0.66,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
79,0,79,0,space,0,1.06736111641,0.81,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
80,0,80,0,space,0,1.05060005188,0.81,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
81,0,81,0,space,0,0.884288787842,0.65,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
82,0,82,0,space,0,0.833323001862,0.57,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
83,0,83,0,space,0,1.11721801758,0.88,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
84,0,84,0,space,0,0.867429018021,0.62,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
85,0,85,0,space,0,0.984112977982,0.75,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
86,0,86,0,space,0,1.15067887306,0.91,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
87,0,87,0,space,0,0.950361967087,0.65,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
88,0,88,0,space,0,0.73341012001,0.9,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
89,0,89,0,space,0,0.933962106705,0.61,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
90,0,90,0,space,0,1.20129013062,0.88,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
91,0,91,0,space,0,0.850266933441,0.61,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
92,0,92,0,space,0,0.900568962097,0.59,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
93,0,93,0,space,0,1.0503821373,0.79,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
94,0,94,0,space,0,1.11752486229,0.75,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
95,0,95,0,space,0,0.8673350811,0.56,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
96,0,96,0,space,0,1.13366007805,0.89,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
97,0,97,0,space,0,0.900509119034,0.68,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
98,0,98,0,space,0,0.750247001648,0.54,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
99,0,99,0,space,0,0.917570829391,0.55,2015_Jun_03_0950,59.9584581186,DondersVisual,002,105,
