1.2954 	WARNING 	Movie2 stim could not be imported and won't be available
179.9444 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xd511c88>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
179.9444 	EXP 	window1: recordFrameIntervals = False
180.1107 	EXP 	window1: recordFrameIntervals = True
180.2943 	EXP 	window1: recordFrameIntervals = False
180.4167 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
182.4741 	EXP 	Set  sound=C
182.5049 	EXP 	Set  sound=900.0
182.5050 	EXP 	Sound  set volume 0.200
182.5100 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
182.5153 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
182.5520 	EXP 	New trial (rep=0, index=0): None
182.5524 	EXP 	window1: recordFrameIntervals = False
182.5657 	EXP 	text: autoDraw = True
182.5659 	EXP 	window1: recordFrameIntervals = False
183.1813 	EXP 	Sound  started
183.3647 	EXP 	Sound  stopped
183.5483 	DATA 	Keypress: space
183.5501 	EXP 	Sound  stopped
183.5648 	EXP 	text: autoDraw = False
183.5648 	EXP 	text_3: autoDraw = True
184.5496 	EXP 	New trial (rep=1, index=0): None
184.5499 	EXP 	window1: recordFrameIntervals = False
184.5654 	EXP 	text_3: autoDraw = False
184.5654 	EXP 	text_3: autoDraw = False
184.5654 	EXP 	text: autoDraw = True
184.5656 	EXP 	window1: recordFrameIntervals = False
185.4839 	EXP 	Sound  started
185.6672 	EXP 	Sound  stopped
185.8674 	DATA 	Keypress: space
185.8686 	EXP 	Sound  stopped
185.8840 	EXP 	text: autoDraw = False
185.8840 	EXP 	text_3: autoDraw = True
186.8692 	EXP 	New trial (rep=2, index=0): None
186.8694 	EXP 	window1: recordFrameIntervals = False
186.8854 	EXP 	text_3: autoDraw = False
186.8854 	EXP 	text_3: autoDraw = False
186.8854 	EXP 	text: autoDraw = True
186.8857 	EXP 	window1: recordFrameIntervals = False
187.6528 	EXP 	Sound  started
187.8528 	EXP 	Sound  stopped
187.9199 	DATA 	Keypress: space
187.9211 	EXP 	Sound  stopped
187.9361 	EXP 	text: autoDraw = False
187.9361 	EXP 	text_3: autoDraw = True
188.9217 	EXP 	New trial (rep=3, index=0): None
188.9218 	EXP 	window1: recordFrameIntervals = False
188.9375 	EXP 	text_3: autoDraw = False
188.9375 	EXP 	text_3: autoDraw = False
188.9375 	EXP 	text: autoDraw = True
188.9377 	EXP 	window1: recordFrameIntervals = False
189.8385 	EXP 	Sound  started
190.0220 	EXP 	Sound  stopped
190.1053 	DATA 	Keypress: space
190.1066 	EXP 	Sound  stopped
190.1218 	EXP 	text: autoDraw = False
190.1218 	EXP 	text_3: autoDraw = True
191.1073 	EXP 	New trial (rep=4, index=0): None
191.1074 	EXP 	window1: recordFrameIntervals = False
191.1231 	EXP 	text_3: autoDraw = False
191.1231 	EXP 	text_3: autoDraw = False
191.1231 	EXP 	text: autoDraw = True
191.1233 	EXP 	window1: recordFrameIntervals = False
192.0411 	EXP 	Sound  started
192.2414 	DATA 	Keypress: space
192.2416 	EXP 	Sound  stopped
192.2427 	EXP 	Sound  stopped
192.2579 	EXP 	text: autoDraw = False
192.2579 	EXP 	text_3: autoDraw = True
193.2430 	EXP 	New trial (rep=5, index=0): None
193.2432 	EXP 	window1: recordFrameIntervals = False
193.2591 	EXP 	text_3: autoDraw = False
193.2591 	EXP 	text_3: autoDraw = False
193.2591 	EXP 	text: autoDraw = True
193.2593 	EXP 	window1: recordFrameIntervals = False
194.2268 	EXP 	Sound  started
194.4102 	EXP 	Sound  stopped
194.4771 	DATA 	Keypress: space
194.4786 	EXP 	Sound  stopped
194.4937 	EXP 	text: autoDraw = False
194.4937 	EXP 	text_3: autoDraw = True
195.4789 	EXP 	New trial (rep=6, index=0): None
195.4790 	EXP 	window1: recordFrameIntervals = False
195.4945 	EXP 	text_3: autoDraw = False
195.4945 	EXP 	text_3: autoDraw = False
195.4945 	EXP 	text: autoDraw = True
195.4947 	EXP 	window1: recordFrameIntervals = False
196.4625 	EXP 	Sound  started
196.6626 	EXP 	Sound  stopped
196.6965 	DATA 	Keypress: space
196.6978 	EXP 	Sound  stopped
196.7130 	EXP 	text: autoDraw = False
196.7130 	EXP 	text_3: autoDraw = True
197.6982 	EXP 	New trial (rep=7, index=0): None
197.6984 	EXP 	window1: recordFrameIntervals = False
197.7136 	EXP 	text_3: autoDraw = False
197.7136 	EXP 	text_3: autoDraw = False
197.7136 	EXP 	text: autoDraw = True
197.7138 	EXP 	window1: recordFrameIntervals = False
198.6820 	EXP 	Sound  started
198.8819 	EXP 	Sound  stopped
198.9487 	DATA 	Keypress: space
198.9501 	EXP 	Sound  stopped
198.9655 	EXP 	text: autoDraw = False
198.9655 	EXP 	text_3: autoDraw = True
199.9507 	EXP 	New trial (rep=8, index=0): None
