2.0709 	WARNING 	Movie2 stim could not be imported and won't be available
78.5049 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xcac4c88>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
78.5049 	EXP 	window1: recordFrameIntervals = False
78.6714 	EXP 	window1: recordFrameIntervals = True
78.8549 	EXP 	window1: recordFrameIntervals = False
79.0763 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
79.1052 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
79.1101 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
79.1115 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
79.1135 	EXP 	New trial (rep=0, index=0): None
79.1142 	EXP 	window1: recordFrameIntervals = False
79.1240 	EXP 	text: autoDraw = True
79.1242 	EXP 	window1: recordFrameIntervals = False
79.4631 	DATA 	Keypress: space
79.6557 	EXP 	text: autoDraw = False
79.6557 	EXP 	text_2: autoDraw = False
79.6557 	EXP 	text_3: autoDraw = True
80.6410 	EXP 	New trial (rep=1, index=0): None
80.6411 	EXP 	window1: recordFrameIntervals = False
80.6567 	EXP 	text_3: autoDraw = False
80.6567 	EXP 	text_3: autoDraw = False
80.6567 	EXP 	text: autoDraw = True
80.6570 	EXP 	window1: recordFrameIntervals = False
81.1738 	EXP 	text_2: autoDraw = True
81.2080 	DATA 	Keypress: space
81.2240 	EXP 	text: autoDraw = False
81.2240 	EXP 	text_2: autoDraw = False
