trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,space,0,1.11568784714,0.98,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
1,0,1,0,space,0,1.21698093414,0.97,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
2,0,2,0,space,0,0.83367395401,0.59,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
3,0,3,0,space,0,1.23411822319,0.97,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
4,0,4,0,space,0,1.0839471817,0.89,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
5,0,5,0,space,0,0.850406885147,0.63,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
6,0,6,0,space,0,0.950546979904,0.75,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
7,0,7,0,space,0,0.833603858948,0.91,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
8,0,8,0,space,0,1.26731109619,0.98,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
9,0,9,0,space,0,0.834182024002,0.57,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
10,0,10,0,space,0,0.766941070557,0.56,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
11,0,11,0,space,0,1.23400497437,0.99,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
12,0,12,0,space,0,1.15052509308,0.94,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
13,0,13,0,space,0,1.0507569313,0.82,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
14,0,14,0,space,0,0.750272989273,0.53,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
15,0,15,0,space,0,0.983616113663,0.76,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
16,0,16,0,space,0,0.900236129761,0.7,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
17,0,17,0,space,0,0.783419847488,0.59,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
18,0,18,0,space,0,0.817220926285,0.64,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
19,0,19,0,space,0,0.834133863449,0.63,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
20,0,20,0,space,0,0.717185020447,0.53,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
21,0,21,0,space,0,1.16752910614,0.95,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
22,0,22,0,space,0,0.88382601738,0.67,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
23,0,23,0,space,0,0.950679779053,0.72,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
24,0,24,0,space,0,0.917083978653,0.73,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
25,0,25,0,space,0,0.83405995369,0.62,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
26,0,26,0,space,0,0.866689920425,0.67,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
27,0,27,0,space,0,0.850305080414,0.65,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
28,0,28,0,space,0,1.08419585228,0.88,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
29,0,29,0,space,0,1.11763811111,0.93,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
30,0,30,0,space,0,1.18429803848,0.99,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
31,0,31,0,space,0,1.13427090645,0.93,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
32,0,32,0,space,0,1.06752204895,0.87,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
33,0,33,0,space,0,0.950550079346,0.75,2015_Jun_03_1414,59.9265046263,DondersAuditory3,001,107,
