trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,jitterTime,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,None,0,0.56,,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
1,0,1,0,None,space,0,0.79,1.08484101295,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
2,0,2,0,None,space,0,0.99,1.21748304367,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
3,0,3,0,None,space,0,0.76,1.05040502548,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
4,0,4,0,None,space,0,0.65,0.917376041412,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
5,0,5,0,None,space,0,0.9,1.15120816231,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
6,0,6,0,None,space,0,0.53,0.833310842514,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
7,0,7,0,None,space,0,0.51,0.817142009735,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
8,0,8,0,None,space,0,0.7,0.917017936707,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
9,0,9,0,None,space,0,0.73,0.966602087021,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
10,0,10,0,None,space,0,0.78,1.03430008888,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
11,0,11,0,None,space,0,0.78,1.05051803589,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
12,0,12,0,None,space,0,0.89,1.13418579102,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
13,0,13,0,None,space,0,0.71,1.03359794617,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
14,0,14,0,None,space,0,0.93,1.16751980782,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
15,0,15,0,None,space,0,0.52,0.800320863724,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
16,0,16,0,None,space,0,0.6,0.900824069977,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
17,0,17,0,None,space,0,0.65,0.900457859039,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
18,0,18,0,None,space,0,0.72,1.00048708916,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
19,0,19,0,None,space,0,0.77,0.983859062195,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
20,0,20,0,None,space,0,0.72,0.983934879303,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
21,0,21,0,None,space,0,0.93,0.984278917313,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
22,0,22,0,None,space,0,0.87,1.1340970993,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
23,0,23,0,None,space,0,0.84,1.23461985588,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
24,0,24,0,None,space,0,0.61,0.833355903625,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
25,0,25,0,None,None,0,0.56,,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
26,0,26,0,None,space,0,0.53,0.817545890808,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
27,0,27,0,None,space,0,0.74,1.01698684692,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
28,0,28,0,None,space,0,0.53,0.817260026932,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
29,0,29,0,None,space,0,0.92,1.18421912193,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
30,0,30,0,None,space,0,0.79,1.1009979248,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
31,0,31,0,None,space,0,0.7,0.967215061188,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
32,0,32,0,None,space,0,0.68,0.933979988098,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
33,0,33,0,None,space,0,0.51,0.767196893692,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
34,0,34,0,None,space,0,0.59,0.817213058472,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
35,0,35,0,None,space,0,0.52,0.800333023071,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
36,0,36,0,None,space,0,0.68,0.95050907135,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
37,0,37,0,None,space,0,0.83,1.11750197411,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
38,0,38,0,None,None,0,0.74,,2015_Jun_03_1054,59.9354961325,DondersVisual,001,998,
