trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,1.28760409355,0.55,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
1,0,1,0,None,space,0,1.20088291168,0.92,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
2,0,2,0,None,space,0,1.03405094147,0.73,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
3,0,3,0,None,space,0,0.783487081528,0.51,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
4,0,4,0,None,None,0,,0.68,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
5,0,5,0,None,None,0,,0.97,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
6,0,6,0,None,None,0,,0.58,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
7,0,7,0,None,None,0,,0.75,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
8,0,8,0,None,None,0,,0.59,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
9,0,9,0,None,None,0,,0.9,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
10,0,10,0,None,None,0,,0.7,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
11,0,11,0,None,None,0,,0.93,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
12,0,12,0,None,None,0,,0.9,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
13,0,13,0,None,None,0,,0.85,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
14,0,14,0,None,None,0,,0.7,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
15,0,15,0,None,None,0,,0.96,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
16,0,16,0,None,None,0,,0.78,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
17,0,17,0,None,None,0,,0.63,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
18,0,18,0,None,None,0,,0.91,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
19,0,19,0,None,None,0,,0.76,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
20,0,20,0,None,None,0,,0.59,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
21,0,21,0,None,None,0,,0.83,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
22,0,22,0,None,None,0,,0.53,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
23,0,23,0,None,None,0,,0.9,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
24,0,24,0,None,None,0,,0.79,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
25,0,25,0,None,None,0,,0.67,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
26,0,26,0,None,None,0,,0.54,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
27,0,27,0,None,None,0,,0.57,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
28,0,28,0,None,None,0,,0.8,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
29,0,29,0,None,None,0,,0.97,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
30,0,30,0,None,None,0,,0.63,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
31,0,31,0,None,None,0,,0.85,2015_Jun_03_1050,59.9617153469,DondersVisual,001,999,
