trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,0.986778020859,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
1,0,1,0,None,space,0,1.16495585442,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
2,0,2,0,None,space,0,0.882627010345,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
3,0,3,0,None,space,0,1.09934687614,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
4,0,4,0,None,space,0,4.91972589493,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
5,0,5,0,None,space,0,0.515146970749,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
6,0,6,0,None,space,0,0.516081094742,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
7,0,7,0,None,space,0,1.0159509182,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
8,0,8,0,None,space,0,0.966284990311,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
9,0,9,0,None,space,0,1.01516985893,2015_Jun_02_1427,59.8931312099,DondersAuditory,001,502,
