0.3240 	WARNING 	Movie2 stim could not be imported and won't be available
3.8655 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe8cceb8>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8655 	EXP 	window1: recordFrameIntervals = False
4.0310 	EXP 	window1: recordFrameIntervals = True
4.2146 	EXP 	window1: recordFrameIntervals = False
5.7505 	EXP 	Set  sound=C
5.7800 	EXP 	Set  sound=900.0
5.7801 	EXP 	Sound  set volume 0.200
5.8304 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.8346 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
5.8352 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
5.8362 	EXP 	New trial (rep=0, index=0): None
5.8365 	EXP 	window1: recordFrameIntervals = False
5.8656 	EXP 	text: autoDraw = True
5.8658 	EXP 	window1: recordFrameIntervals = False
6.3998 	EXP 	Sound  started
6.5829 	EXP 	Sound  stopped
6.6333 	DATA 	Keypress: space
6.6338 	EXP 	Sound  stopped
6.6496 	EXP 	text: autoDraw = False
6.6496 	EXP 	text_3: autoDraw = True
7.6341 	EXP 	New trial (rep=1, index=0): None
7.6343 	EXP 	window1: recordFrameIntervals = False
7.6501 	EXP 	text_3: autoDraw = False
7.6501 	EXP 	text_3: autoDraw = False
7.6501 	EXP 	text: autoDraw = True
7.6504 	EXP 	window1: recordFrameIntervals = False
