trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,date,frameRate,expName,session,participant,
0,0,0,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
1,0,1,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
2,0,2,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
3,0,3,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
4,0,4,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
5,0,5,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
6,0,6,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
7,0,7,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
8,0,8,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
9,0,9,0,None,2015_Jun_02_1240,59.9200837735,untitled,001,996,
