0.3140 	WARNING 	Movie2 stim could not be imported and won't be available
6.6325 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfdcc440>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6325 	EXP 	window1: recordFrameIntervals = False
6.7985 	EXP 	window1: recordFrameIntervals = True
6.9830 	EXP 	window1: recordFrameIntervals = False
7.0666 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.0875 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
7.0923 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
7.0933 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
7.0942 	EXP 	New trial (rep=0, index=0): None
7.0945 	EXP 	window1: recordFrameIntervals = False
7.1158 	EXP 	text: autoDraw = True
7.1159 	EXP 	window1: recordFrameIntervals = False
8.0165 	EXP 	text_2: autoDraw = True
8.2007 	EXP 	text_2: autoDraw = False
8.2509 	DATA 	Keypress: space
8.2670 	EXP 	text: autoDraw = False
8.2670 	EXP 	text_2: autoDraw = False
8.2670 	EXP 	text_3: autoDraw = True
9.2525 	EXP 	New trial (rep=1, index=0): None
9.2527 	EXP 	window1: recordFrameIntervals = False
9.2682 	EXP 	text_3: autoDraw = False
9.2682 	EXP 	text_3: autoDraw = False
9.2682 	EXP 	text: autoDraw = True
9.2685 	EXP 	window1: recordFrameIntervals = False
9.9020 	EXP 	text_2: autoDraw = True
10.1024 	EXP 	text_2: autoDraw = False
10.1197 	DATA 	Keypress: space
10.1527 	EXP 	text: autoDraw = False
10.1527 	EXP 	text_2: autoDraw = False
10.1527 	EXP 	text_3: autoDraw = True
11.1379 	EXP 	New trial (rep=2, index=0): None
11.1382 	EXP 	window1: recordFrameIntervals = False
11.1537 	EXP 	text_3: autoDraw = False
11.1537 	EXP 	text: autoDraw = True
11.1539 	EXP 	window1: recordFrameIntervals = False
11.9715 	EXP 	text_2: autoDraw = True
12.1551 	EXP 	text_2: autoDraw = False
12.2051 	DATA 	Keypress: space
12.2214 	EXP 	text: autoDraw = False
12.2214 	EXP 	text_2: autoDraw = False
12.2214 	EXP 	text_3: autoDraw = True
13.2068 	EXP 	New trial (rep=3, index=0): None
13.2069 	EXP 	window1: recordFrameIntervals = False
13.2225 	EXP 	text_3: autoDraw = False
13.2225 	EXP 	text_3: autoDraw = False
13.2225 	EXP 	text: autoDraw = True
13.2227 	EXP 	window1: recordFrameIntervals = False
14.0402 	EXP 	text_2: autoDraw = True
14.2239 	EXP 	text_2: autoDraw = False
14.2742 	DATA 	Keypress: space
14.2903 	EXP 	text: autoDraw = False
14.2903 	EXP 	text_2: autoDraw = False
14.2903 	EXP 	text_3: autoDraw = True
15.2761 	EXP 	New trial (rep=4, index=0): None
15.2763 	EXP 	window1: recordFrameIntervals = False
15.2917 	EXP 	text_3: autoDraw = False
15.2917 	EXP 	text_3: autoDraw = False
15.2917 	EXP 	text: autoDraw = True
15.2919 	EXP 	window1: recordFrameIntervals = False
16.2433 	EXP 	text_2: autoDraw = True
16.4429 	EXP 	text_2: autoDraw = False
16.4773 	DATA 	Keypress: space
16.4933 	EXP 	text: autoDraw = False
16.4933 	EXP 	text_2: autoDraw = False
16.4933 	EXP 	text_3: autoDraw = True
17.4784 	EXP 	New trial (rep=5, index=0): None
17.4785 	EXP 	window1: recordFrameIntervals = False
17.4942 	EXP 	text_3: autoDraw = False
17.4942 	EXP 	text_3: autoDraw = False
17.4942 	EXP 	text: autoDraw = True
17.4943 	EXP 	window1: recordFrameIntervals = False
18.1612 	EXP 	text_2: autoDraw = True
18.3447 	EXP 	text_2: autoDraw = False
18.3788 	DATA 	Keypress: space
18.3950 	EXP 	text: autoDraw = False
18.3950 	EXP 	text_2: autoDraw = False
18.3950 	EXP 	text_3: autoDraw = True
19.3802 	EXP 	New trial (rep=6, index=0): None
19.3803 	EXP 	window1: recordFrameIntervals = False
19.3959 	EXP 	text_3: autoDraw = False
