0.3188 	WARNING 	Movie2 stim could not be imported and won't be available
22.7058 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xc37f440>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.7058 	EXP 	window1: recordFrameIntervals = False
22.8717 	EXP 	window1: recordFrameIntervals = True
23.0553 	EXP 	window1: recordFrameIntervals = False
23.1777 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
23.2487 	EXP 	Set  sound=900.0
23.2487 	EXP 	Set Sound  volume=0.200
23.2548 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
23.2558 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
23.2721 	EXP 	New trial (rep=0, index=0): None
23.2731 	EXP 	window1: recordFrameIntervals = False
23.2889 	EXP 	text: autoDraw = True
23.2891 	EXP 	window1: recordFrameIntervals = False
23.8565 	EXP 	Sound  started
24.0403 	EXP 	Sound  stopped
24.1075 	DATA 	Keypress: space
24.1246 	EXP 	Sound  stopped
24.1400 	EXP 	text: autoDraw = False
24.1400 	EXP 	text_3: autoDraw = True
25.1251 	EXP 	New trial (rep=1, index=0): None
25.1253 	EXP 	window1: recordFrameIntervals = False
25.1408 	EXP 	text_3: autoDraw = False
25.1408 	EXP 	text_3: autoDraw = False
25.1408 	EXP 	text: autoDraw = True
25.1410 	EXP 	window1: recordFrameIntervals = False
26.0257 	EXP 	Sound  started
26.2092 	EXP 	Sound  stopped
26.2760 	DATA 	Keypress: space
26.2771 	EXP 	Sound  stopped
26.2922 	EXP 	text: autoDraw = False
26.2922 	EXP 	text_3: autoDraw = True
27.2779 	EXP 	New trial (rep=2, index=0): None
27.2781 	EXP 	window1: recordFrameIntervals = False
27.2931 	EXP 	text_3: autoDraw = False
27.2931 	EXP 	text_3: autoDraw = False
27.2931 	EXP 	text: autoDraw = True
27.2934 	EXP 	window1: recordFrameIntervals = False
28.1277 	EXP 	Sound  started
28.3115 	EXP 	Sound  stopped
28.4115 	DATA 	Keypress: space
28.4127 	EXP 	Sound  stopped
28.4278 	EXP 	text: autoDraw = False
28.4278 	EXP 	text_3: autoDraw = True
29.4134 	EXP 	New trial (rep=3, index=0): None
29.4135 	EXP 	window1: recordFrameIntervals = False
29.4291 	EXP 	text_3: autoDraw = False
29.4291 	EXP 	text_3: autoDraw = False
29.4291 	EXP 	text: autoDraw = True
29.4293 	EXP 	window1: recordFrameIntervals = False
30.2639 	EXP 	Sound  started
30.4476 	EXP 	Sound  stopped
30.5313 	DATA 	Keypress: space
30.5324 	EXP 	Sound  stopped
30.5473 	EXP 	text: autoDraw = False
30.5473 	EXP 	text_3: autoDraw = True
31.5324 	EXP 	New trial (rep=4, index=0): None
31.5325 	EXP 	window1: recordFrameIntervals = False
31.5481 	EXP 	text_3: autoDraw = False
31.5481 	EXP 	text_3: autoDraw = False
31.5481 	EXP 	text: autoDraw = True
31.5483 	EXP 	window1: recordFrameIntervals = False
32.2658 	EXP 	Sound  started
32.4660 	EXP 	Sound  stopped
32.4996 	DATA 	Keypress: space
32.5007 	EXP 	Sound  stopped
