trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,space,0,1.06373691559,0.73,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
1,0,1,0,space,0,1.0671980381,0.75,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
2,0,2,0,space,0,1.10083603859,0.81,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
3,0,3,0,space,0,0.950309038162,0.69,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
4,0,4,0,space,0,1.30089497566,0.87,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
5,0,5,0,space,0,1.25096321106,0.98,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
6,0,6,0,space,0,1.10046291351,0.77,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
7,0,7,0,space,0,1.00115394592,0.68,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
8,0,8,0,space,0,1.10073781013,0.9,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
9,0,9,0,space,0,1.16723585129,0.89,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
10,0,10,0,space,0,0.867012023926,0.58,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
11,0,11,0,space,0,0.900675058365,0.63,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
12,0,12,0,space,0,1.06742405891,0.77,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
13,0,13,0,space,0,0.866940021515,0.61,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
14,0,14,0,space,0,0.850387096405,0.55,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
15,0,15,0,space,0,0.833597898483,0.6,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
16,0,16,0,space,0,1.15029597282,0.9,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
17,0,17,0,space,0,0.967545986176,0.67,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
18,0,18,0,space,0,0.850031852722,0.61,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
19,0,19,0,space,0,0.950424909592,0.66,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
20,0,20,0,space,0,1.03403902054,0.77,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
21,0,21,0,space,0,1.00061106682,0.71,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
22,0,22,0,space,0,1.15063095093,0.79,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
23,0,23,0,space,0,0.917598009109,0.59,2015_Jun_02_1531,59.6508813298,DondersAuditory2,002,104,
