0.3274 	WARNING 	Movie2 stim could not be imported and won't be available
8.5204 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe952eb8>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5204 	EXP 	window1: recordFrameIntervals = False
8.6858 	EXP 	window1: recordFrameIntervals = True
8.8695 	EXP 	window1: recordFrameIntervals = False
10.3552 	EXP 	Set  sound=C
10.3851 	EXP 	Set  sound=900.0
10.3851 	EXP 	Sound  set volume 0.200
10.4379 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
10.4420 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
10.4431 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
10.4440 	EXP 	New trial (rep=0, index=0): None
10.4443 	EXP 	window1: recordFrameIntervals = False
10.4706 	EXP 	text: autoDraw = True
10.4707 	EXP 	window1: recordFrameIntervals = False
11.1551 	EXP 	Sound  started
11.3546 	EXP 	Sound  stopped
11.3549 	DATA 	Keypress: space
11.3557 	EXP 	Sound  stopped
11.3710 	EXP 	text: autoDraw = False
11.3710 	EXP 	text_3: autoDraw = True
12.0386 	DATA 	Keypress: space
12.1728 	DATA 	Keypress: space
12.3563 	EXP 	New trial (rep=1, index=0): None
12.3565 	EXP 	window1: recordFrameIntervals = False
12.3719 	EXP 	text_3: autoDraw = False
12.3719 	EXP 	text_3: autoDraw = False
12.3719 	EXP 	text: autoDraw = True
12.3722 	EXP 	window1: recordFrameIntervals = False
13.3562 	EXP 	Sound  started
13.5394 	EXP 	Sound  stopped
14.3569 	EXP 	Sound  stopped
14.3733 	EXP 	text: autoDraw = False
14.3733 	EXP 	text: autoDraw = False
14.3733 	EXP 	text_3: autoDraw = True
15.3586 	EXP 	New trial (rep=2, index=0): None
15.3588 	EXP 	window1: recordFrameIntervals = False
15.3741 	EXP 	text_3: autoDraw = False
15.3741 	EXP 	text_3: autoDraw = False
15.3741 	EXP 	text: autoDraw = True
15.3743 	EXP 	window1: recordFrameIntervals = False
16.1249 	EXP 	Sound  started
16.3082 	EXP 	Sound  stopped
16.3749 	DATA 	Keypress: space
16.3801 	EXP 	Sound  stopped
16.4080 	EXP 	text: autoDraw = False
16.4080 	EXP 	text_3: autoDraw = True
17.3767 	EXP 	New trial (rep=3, index=0): None
17.3769 	EXP 	window1: recordFrameIntervals = False
17.3921 	EXP 	text_3: autoDraw = False
17.3921 	EXP 	text_3: autoDraw = False
