trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,0.797528982162,0.55,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
1,0,1,0,None,space,0,1.05073094368,0.85,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
2,0,2,0,None,space,0,0.98384308815,0.76,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
3,0,3,0,None,space,0,0.883798837662,0.63,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
4,0,4,0,None,space,0,0.98347902298,0.75,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
5,0,5,0,None,None,0,,0.82,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
6,0,6,0,None,space,0,1.18435502052,0.88,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
7,0,7,0,None,space,0,0.800103902817,0.5,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
8,0,8,0,None,space,0,0.900564193726,0.69,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
9,0,9,0,None,space,0,0.867058992386,0.65,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
10,0,10,0,None,space,0,0.967128038406,0.72,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
11,0,11,0,None,space,0,0.916468858719,0.71,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
12,0,12,0,None,space,0,1.05070710182,0.82,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
13,0,13,0,None,space,0,1.00042295456,0.78,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
14,0,14,0,None,space,0,0.950186014175,0.66,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
15,0,15,0,None,space,0,1.20037794113,0.94,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
16,0,16,0,None,space,0,1.20034408569,0.97,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
17,0,17,0,None,space,0,0.900610923767,0.71,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
18,0,18,0,None,space,0,1.20054578781,0.99,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
19,0,19,0,None,space,0,0.95067191124,0.73,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
20,0,20,0,None,space,0,0.966761112213,0.72,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
21,0,21,0,None,space,0,0.883507966995,0.68,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
22,0,22,0,None,space,0,0.917346954346,0.69,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
23,0,23,0,None,space,0,1.18404817581,0.95,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
24,0,24,0,None,None,0,,0.79,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
25,0,25,0,None,space,0,0.516447067261,0.58,2015_Jun_02_1433,59.9642013645,DondersAuditory,001,505,
