trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,date,frameRate,expName,session,participant,
0,0,0,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
1,0,1,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
2,0,2,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
3,0,3,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
4,0,4,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
5,0,5,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
6,0,6,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
7,0,7,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
8,0,8,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
9,0,9,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
10,0,10,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
11,0,11,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
12,0,12,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
13,0,13,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
14,0,14,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
15,0,15,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
16,0,16,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
17,0,17,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
18,0,18,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
19,0,19,0,None,2015_Jun_02_1240,59.9372947575,untitled,001,9978,
