trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,space,0,0.85119509697,0.58,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
1,0,1,0,space,0,1.1509540081,0.89,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
2,0,2,0,space,0,1.13367700577,0.84,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
3,0,3,0,space,0,1.11798405647,0.84,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
4,0,4,0,space,0,0.967288970947,0.73,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
5,0,5,0,space,0,0.766867876053,0.51,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
6,0,6,0,space,0,0.783581972122,0.5,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
7,0,7,0,space,0,1.20057415962,0.97,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
8,0,8,0,space,0,1.05120301247,0.72,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
9,0,9,0,space,0,0.85066485405,0.57,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
10,0,10,0,space,0,1.15045309067,0.85,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
11,0,11,0,space,0,1.05087590218,0.71,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
12,0,12,0,space,0,1.20120000839,0.93,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
13,0,13,0,space,0,1.25049090385,0.91,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
14,0,14,0,space,0,0.933773994446,0.69,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
15,0,15,0,space,0,1.05070614815,0.72,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
16,0,16,0,space,0,1.21756291389,0.89,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
17,0,17,0,space,0,0.967590093613,0.66,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
18,0,18,0,space,0,1.18400001526,0.9,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
19,0,19,0,space,0,1.00075793266,0.73,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
20,0,20,0,space,0,0.866683959961,0.54,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
21,0,21,0,space,0,0.883466005325,0.58,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
22,0,22,0,space,0,1.08362293243,0.79,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
23,0,23,0,space,0,0.950353145599,0.61,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
24,0,24,0,space,0,0.917397022247,0.68,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
25,0,25,0,space,0,0.783845901489,0.54,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
26,0,26,0,space,0,1.15031599998,0.88,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
27,0,27,0,space,0,0.816781044006,0.51,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
28,0,28,0,space,0,0.934072971344,0.69,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
29,0,29,0,space,0,1.06721591949,0.78,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
30,0,30,0,space,0,1.25084805489,0.99,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
31,0,31,0,space,0,0.883979082108,0.59,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
32,0,32,0,space,0,1.43419599533,0.97,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
33,0,33,0,space,0,1.05047607422,0.74,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
34,0,34,0,space,0,1.08407998085,0.64,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
35,0,35,0,space,0,0.916966915131,0.6,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
36,0,36,0,space,0,1.01712584496,0.71,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
37,0,37,0,space,0,0.83339381218,0.56,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
38,0,38,0,space,0,0.834024906158,0.51,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
39,0,39,0,space,0,1.11710786819,0.84,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
40,0,40,0,space,0,1.06748199463,0.72,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
41,0,41,0,space,0,1.20037102699,0.95,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
42,0,42,0,space,0,0.967383861542,0.7,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
43,0,43,0,space,0,1.03396606445,0.73,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
44,0,44,0,space,0,1.00047802925,0.75,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
45,0,45,0,space,0,1.26779603958,0.95,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
46,0,46,0,space,0,0.934029817581,0.69,2015_Jun_02_1513,59.9434622915,DondersAuditory2,002,102,
