trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,space,0,1.70342993736,0.97,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
1,0,1,0,space,0,1.21785998344,0.94,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
2,0,2,0,space,0,1.16747498512,0.93,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
3,0,3,0,space,0,1.18390011787,0.96,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
4,0,4,0,space,0,1.00032401085,0.74,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
5,0,5,0,space,0,0.967061042786,0.73,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
6,0,6,0,space,0,1.03387093544,0.78,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
7,0,7,0,space,0,0.983638048172,0.74,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
8,0,8,0,space,0,0.834008216858,0.5,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
9,0,9,0,space,0,0.984627008438,0.73,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
10,0,10,0,space,0,1.08378005028,0.81,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
11,0,11,0,space,0,0.849951028824,0.58,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
12,0,12,0,space,0,0.900354146957,0.65,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
13,0,13,0,space,0,0.950531959534,0.67,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
14,0,14,0,space,0,1.06754899025,0.76,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
15,0,15,0,space,0,0.983644008636,0.7,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
16,0,16,0,space,0,0.951061010361,0.65,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
17,0,17,0,space,0,0.933783054352,0.66,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
18,0,18,0,space,0,0.783905982971,0.51,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
19,0,19,0,space,0,1.10053110123,0.82,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
20,0,20,0,space,0,1.20042991638,0.92,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
21,0,21,0,space,0,1.05042004585,0.65,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
22,0,22,0,space,0,0.916462898254,0.65,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
23,0,23,0,space,0,0.833817005157,0.75,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
24,0,24,0,space,0,1.13377285004,0.87,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
25,0,25,0,space,0,0.750615119934,0.5,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
26,0,26,0,space,0,0.850877046585,0.63,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
27,0,27,0,space,0,0.883750915527,0.64,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
28,0,28,0,space,0,0.800146102905,0.53,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
29,0,29,0,space,0,0.766884088516,0.64,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
30,0,30,0,space,0,0.750519990921,0.53,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
31,0,31,0,space,0,0.967532157898,0.73,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
32,0,32,0,space,0,1.05078911781,0.77,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
33,0,33,0,space,0,0.917315006256,0.63,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
34,0,34,0,space,0,0.999986171722,0.71,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
35,0,35,0,space,0,1.06726908684,0.78,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
36,0,36,0,space,0,0.934265851974,0.68,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
37,0,37,0,space,0,0.783663988113,0.95,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
38,0,38,0,None,0,,0.51,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
39,0,39,0,space,0,1.11811304092,0.78,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
40,0,40,0,space,0,1.16799092293,0.87,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
41,0,41,0,space,0,1.16750597954,0.89,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
42,0,42,0,space,0,1.21763706207,0.96,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
43,0,43,0,space,0,1.23497009277,0.96,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
44,0,44,0,space,0,0.933737039566,0.64,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
45,0,45,0,space,0,1.05064988136,0.76,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
46,0,46,0,space,0,0.784204006195,0.52,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
47,0,47,0,space,0,0.850495100021,0.58,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
48,0,48,0,space,0,0.767173051834,0.54,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
49,0,49,0,space,0,0.783384084702,0.51,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
50,0,50,0,space,0,0.583087921143,0.89,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
51,0,51,0,space,0,1.2011051178,0.87,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
52,0,52,0,space,0,1.117426157,0.86,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
53,0,53,0,space,0,1.05093693733,0.77,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
54,0,54,0,space,0,0.867429971695,0.59,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
55,0,55,0,space,0,0.934169054031,0.67,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
56,0,56,0,space,0,0.833761930466,0.57,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
57,0,57,0,space,0,0.800288915634,0.54,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
58,0,58,0,space,0,0.667203187943,0.98,2015_Jun_02_1505,59.83579873,DondersVisual,001,102,
