0.3155 	WARNING 	Movie2 stim could not be imported and won't be available
26.3051 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xc508440>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
26.3051 	EXP 	window1: recordFrameIntervals = False
26.4712 	EXP 	window1: recordFrameIntervals = True
26.6557 	EXP 	window1: recordFrameIntervals = False
26.7386 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
26.7865 	EXP 	Set  sound=900.0
26.7865 	EXP 	Set Sound  volume=0.200
26.7915 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
26.7925 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
26.7933 	EXP 	New trial (rep=0, index=0): None
26.7942 	EXP 	window1: recordFrameIntervals = False
26.8052 	EXP 	text: autoDraw = True
26.8054 	EXP 	window1: recordFrameIntervals = False
27.5400 	EXP 	Sound  started
27.7230 	EXP 	Sound  stopped
27.8566 	DATA 	Keypress: space
27.8583 	EXP 	Sound  stopped
27.8728 	EXP 	text: autoDraw = False
27.8728 	EXP 	text_3: autoDraw = True
28.8589 	EXP 	New trial (rep=1, index=0): None
28.8591 	EXP 	window1: recordFrameIntervals = False
28.8739 	EXP 	text_3: autoDraw = False
28.8739 	EXP 	text_3: autoDraw = False
28.8739 	EXP 	text: autoDraw = True
28.8742 	EXP 	window1: recordFrameIntervals = False
29.6252 	EXP 	Sound  started
29.8088 	EXP 	Sound  stopped
