0.3240 	WARNING 	Movie2 stim could not be imported and won't be available
10.2243 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe6cfeb8>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2243 	EXP 	window1: recordFrameIntervals = False
10.3903 	EXP 	window1: recordFrameIntervals = True
10.5743 	EXP 	window1: recordFrameIntervals = False
12.1122 	EXP 	Set  sound=C
12.1456 	EXP 	Set  sound=900.0
12.1456 	EXP 	Sound  set volume 0.200
12.1980 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.2026 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
12.2038 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
12.2047 	EXP 	New trial (rep=0, index=0): None
12.2050 	EXP 	window1: recordFrameIntervals = False
12.2252 	EXP 	text: autoDraw = True
12.2253 	EXP 	window1: recordFrameIntervals = False
13.1762 	EXP 	Sound  started
13.3594 	EXP 	Sound  stopped
13.3764 	DATA 	Keypress: space
13.3771 	EXP 	Sound  stopped
13.3924 	EXP 	text: autoDraw = False
13.3924 	EXP 	text_3: autoDraw = True
14.3774 	EXP 	New trial (rep=1, index=0): None
14.3777 	EXP 	window1: recordFrameIntervals = False
14.3932 	EXP 	text_3: autoDraw = False
14.3932 	EXP 	text_3: autoDraw = False
14.3932 	EXP 	text: autoDraw = True
14.3933 	EXP 	window1: recordFrameIntervals = False
14.9440 	EXP 	Sound  started
15.1271 	EXP 	Sound  stopped
15.1608 	DATA 	Keypress: space
15.1610 	EXP 	Sound  stopped
15.1772 	EXP 	text: autoDraw = False
15.1772 	EXP 	text_3: autoDraw = True
16.1621 	EXP 	New trial (rep=2, index=0): None
16.1623 	EXP 	window1: recordFrameIntervals = False
16.1779 	EXP 	text_3: autoDraw = False
16.1779 	EXP 	text_3: autoDraw = False
16.1779 	EXP 	text: autoDraw = True
16.1780 	EXP 	window1: recordFrameIntervals = False
16.9955 	DATA 	Keypress: space
16.9957 	EXP 	Sound  stopped
17.0116 	EXP 	text: autoDraw = False
17.0116 	EXP 	text_3: autoDraw = True
17.9967 	EXP 	New trial (rep=3, index=0): None
17.9969 	EXP 	window1: recordFrameIntervals = False
18.0124 	EXP 	text_3: autoDraw = False
18.0124 	EXP 	text_3: autoDraw = False
18.0124 	EXP 	text: autoDraw = True
18.0125 	EXP 	window1: recordFrameIntervals = False
18.8300 	EXP 	Sound  started
19.0301 	EXP 	Sound  stopped
19.0636 	DATA 	Keypress: space
19.0639 	EXP 	Sound  stopped
19.0800 	EXP 	text: autoDraw = False
19.0800 	EXP 	text_3: autoDraw = True
20.0653 	EXP 	New trial (rep=4, index=0): None
20.0656 	EXP 	window1: recordFrameIntervals = False
20.0809 	EXP 	text_3: autoDraw = False
20.0809 	EXP 	text_3: autoDraw = False
20.0809 	EXP 	text: autoDraw = True
20.0810 	EXP 	window1: recordFrameIntervals = False
20.5982 	EXP 	Sound  started
20.7650 	EXP 	Sound  stopped
20.8652 	DATA 	Keypress: space
20.8655 	EXP 	Sound  stopped
20.8815 	EXP 	text: autoDraw = False
20.8815 	EXP 	text_3: autoDraw = True
21.8663 	EXP 	New trial (rep=5, index=0): None
21.8665 	EXP 	window1: recordFrameIntervals = False
21.8821 	EXP 	text_3: autoDraw = False
21.8821 	EXP 	text_3: autoDraw = False
21.8821 	EXP 	text: autoDraw = True
21.8823 	EXP 	window1: recordFrameIntervals = False
22.4165 	EXP 	Sound  started
22.6000 	EXP 	Sound  stopped
22.6003 	DATA 	Keypress: space
22.6005 	EXP 	Sound  stopped
22.6166 	EXP 	text: autoDraw = False
22.6166 	EXP 	text_3: autoDraw = True
23.6016 	EXP 	New trial (rep=6, index=0): None
23.6018 	EXP 	window1: recordFrameIntervals = False
23.6173 	EXP 	text_3: autoDraw = False
23.6173 	EXP 	text_3: autoDraw = False
23.6173 	EXP 	text: autoDraw = True
23.6175 	EXP 	window1: recordFrameIntervals = False
24.1347 	EXP 	Sound  started
24.3346 	EXP 	Sound  stopped
24.3685 	DATA 	Keypress: space
24.3687 	EXP 	Sound  stopped
24.3846 	EXP 	text: autoDraw = False
24.3846 	EXP 	text_3: autoDraw = True
25.3699 	EXP 	New trial (rep=7, index=0): None
25.3701 	EXP 	window1: recordFrameIntervals = False
25.3856 	EXP 	text_3: autoDraw = False
25.3856 	EXP 	text_3: autoDraw = False
25.3856 	EXP 	text: autoDraw = True
25.3857 	EXP 	window1: recordFrameIntervals = False
26.2698 	EXP 	Sound  started
26.4532 	EXP 	Sound  stopped
26.4701 	DATA 	Keypress: space
26.4703 	EXP 	Sound  stopped
26.4862 	EXP 	text: autoDraw = False
26.4862 	EXP 	text_3: autoDraw = True
27.4713 	EXP 	New trial (rep=8, index=0): None
27.4715 	EXP 	window1: recordFrameIntervals = False
27.4870 	EXP 	text_3: autoDraw = False
27.4870 	EXP 	text_3: autoDraw = False
27.4870 	EXP 	text: autoDraw = True
27.4872 	EXP 	window1: recordFrameIntervals = False
28.3546 	EXP 	Sound  started
28.5381 	EXP 	Sound  stopped
28.5718 	DATA 	Keypress: space
28.5722 	EXP 	Sound  stopped
28.5878 	EXP 	text: autoDraw = False
28.5878 	EXP 	text_3: autoDraw = True
29.5733 	EXP 	New trial (rep=9, index=0): None
29.5735 	EXP 	window1: recordFrameIntervals = False
29.5890 	EXP 	text_3: autoDraw = False
29.5890 	EXP 	text_3: autoDraw = False
29.5890 	EXP 	text: autoDraw = True
29.5891 	EXP 	window1: recordFrameIntervals = False
30.1895 	EXP 	Sound  started
30.3729 	EXP 	Sound  stopped
30.4232 	DATA 	Keypress: space
30.4234 	EXP 	Sound  stopped
30.4396 	EXP 	text: autoDraw = False
30.4396 	EXP 	text_3: autoDraw = True
31.4244 	EXP 	New trial (rep=10, index=0): None
31.4246 	EXP 	window1: recordFrameIntervals = False
31.4402 	EXP 	text_3: autoDraw = False
31.4402 	EXP 	text_3: autoDraw = False
31.4402 	EXP 	text: autoDraw = True
31.4404 	EXP 	window1: recordFrameIntervals = False
31.9575 	EXP 	Sound  started
32.1241 	EXP 	Sound  stopped
32.1577 	DATA 	Keypress: space
32.1580 	EXP 	Sound  stopped
32.1741 	EXP 	text: autoDraw = False
32.1741 	EXP 	text_3: autoDraw = True
33.1592 	EXP 	New trial (rep=11, index=0): None
33.1594 	EXP 	window1: recordFrameIntervals = False
33.1749 	EXP 	text_3: autoDraw = False
33.1749 	EXP 	text_3: autoDraw = False
33.1749 	EXP 	text: autoDraw = True
33.1750 	EXP 	window1: recordFrameIntervals = False
34.1260 	EXP 	Sound  started
34.3091 	EXP 	Sound  stopped
