trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,0.853863954544,0.56,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
1,0,1,0,None,space,0,1.15044617653,0.82,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
2,0,2,0,None,space,0,1.09996390343,0.83,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
3,0,3,0,None,space,0,1.18351411819,0.9,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
4,0,4,0,None,space,0,1.13379406929,0.84,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
5,0,5,0,None,space,0,1.28384184837,0.99,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
6,0,6,0,None,space,0,0.866711854935,0.51,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
7,0,7,0,None,space,0,0.933382034302,0.69,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
8,0,8,0,None,space,0,0.783034801483,0.54,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
9,0,9,0,None,space,0,0.816954851151,0.57,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
10,0,10,0,None,space,0,0.984175920486,0.79,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
11,0,11,0,None,space,0,0.766439914703,0.56,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
12,0,12,0,None,space,0,1.16681885719,0.95,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
13,0,13,0,None,space,0,0.933254957199,0.71,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
14,0,14,0,None,space,0,0.883435964584,0.67,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
15,0,15,0,None,space,0,0.916536092758,0.74,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
16,0,16,0,None,space,0,0.950016975403,0.72,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
17,0,17,0,None,space,0,0.983592987061,0.76,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
18,0,18,0,None,space,0,0.816865921021,0.59,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
19,0,19,0,None,space,0,1.2168738842,0.99,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
20,0,20,0,None,space,0,1.03342795372,0.81,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
21,0,21,0,None,space,0,1.26688480377,0.95,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
22,0,22,0,None,space,0,0.966698884964,0.72,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
23,0,23,0,None,space,0,1.0500421524,0.8,2015_Jun_02_1445,59.9330124944,DondersAuditory,001,3,
