trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,0.802065134048,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
1,0,1,0,None,space,0,0.783849954605,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
2,0,2,0,None,space,0,0.783436059952,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
3,0,3,0,None,space,0,0.767498970032,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
4,0,4,0,None,space,0,0.750343084335,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
5,0,5,0,None,space,0,0.783770084381,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
6,0,6,0,None,space,0,0.750261068344,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
7,0,7,0,None,space,0,0.884044885635,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
8,0,8,0,None,space,0,0.75030708313,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
9,0,9,0,None,space,0,0.96707201004,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
10,0,10,0,None,space,0,0.883940219879,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
11,0,11,0,None,space,0,0.733580112457,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
12,0,12,0,None,space,0,0.86678314209,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
13,0,13,0,None,space,0,0.733826160431,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
14,0,14,0,None,space,0,0.766909122467,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
15,0,15,0,None,space,0,0.76654791832,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
16,0,16,0,None,space,0,0.867233991623,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
17,0,17,0,None,None,0,,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
18,0,18,0,None,space,0,0.916892051697,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
19,0,19,0,None,space,0,0.850525140762,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
20,0,20,0,None,space,0,0.784001111984,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
21,0,21,0,None,space,0,0.71656703949,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
22,0,22,0,None,space,0,0.750558853149,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
23,0,23,0,None,space,0,0.817065000534,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
24,0,24,0,None,space,0,0.89999294281,2015_Jun_02_1429,59.9692597607,DondersAuditory,001,504,
