trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,date,frameRate,expName,session,participant,
0,0,0,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
1,0,1,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
2,0,2,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
3,0,3,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
4,0,4,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
5,0,5,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
6,0,6,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
7,0,7,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
8,0,8,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
9,0,9,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
10,0,10,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
11,0,11,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
12,0,12,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
13,0,13,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
14,0,14,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
15,0,15,0,None,2015_Jun_02_1241,59.9452613947,untitled,001,995,
