0.3363 	WARNING 	Movie2 stim could not be imported and won't be available
4.0905 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe8c1df0>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0905 	EXP 	window1: recordFrameIntervals = False
4.2560 	EXP 	window1: recordFrameIntervals = True
4.4398 	EXP 	window1: recordFrameIntervals = False
5.9733 	EXP 	Set  sound=C
6.0079 	EXP 	Set  sound=900.0
6.0079 	EXP 	Sound  set volume 0.200
6.0123 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7b2c10>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.0149 	EXP 	Created polygon = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-2.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.0228 	EXP 	Created sequence: random, trialTypes=1, nReps=1000, seed=None
6.0281 	EXP 	New trial (rep=0, index=0): None
6.0282 	EXP 	window1: recordFrameIntervals = False
6.0404 	EXP 	window1: recordFrameIntervals = False
6.5579 	EXP 	Sound  started
6.5742 	EXP 	polygon: autoDraw = True
6.7244 	EXP 	Sound  stopped
7.5249 	EXP 	Sound  stopped
7.5313 	EXP 	New trial (rep=1, index=0): None
7.5313 	EXP 	window1: recordFrameIntervals = False
7.5582 	EXP 	polygon: autoDraw = False
7.5582 	EXP 	window1: recordFrameIntervals = False
8.0588 	EXP 	Sound  started
