trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,1.1632437706,0.92,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
1,0,1,0,None,space,0,1.16624498367,0.95,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
2,0,2,0,None,space,0,1.21634888649,0.97,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
3,0,3,0,None,space,0,1.16723895073,0.93,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
4,0,4,0,None,space,0,0.816433906555,0.56,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
5,0,5,0,None,space,0,0.733850955963,0.62,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
6,0,6,0,None,space,0,0.816148996353,0.56,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
7,0,7,0,None,space,0,0.699637889862,0.59,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
8,0,8,0,None,space,0,0.782895088196,0.55,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
9,0,9,0,None,space,0,0.816776037216,0.77,2015_Jun_02_1449,59.9215390462,DondersVisual,001,999,
