0.3298 	WARNING 	Movie2 stim could not be imported and won't be available
4.5793 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe805e90>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.5794 	EXP 	window1: recordFrameIntervals = False
4.7451 	EXP 	window1: recordFrameIntervals = True
4.9289 	EXP 	window1: recordFrameIntervals = False
4.9763 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.0112 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
5.0156 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
5.0166 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
5.0176 	EXP 	New trial (rep=0, index=0): None
5.0178 	EXP 	window1: recordFrameIntervals = False
5.0454 	EXP 	text: autoDraw = True
5.0455 	EXP 	window1: recordFrameIntervals = False
5.9625 	EXP 	text_2: autoDraw = True
6.1459 	EXP 	text_2: autoDraw = False
6.1798 	DATA 	Keypress: space
6.2128 	EXP 	text: autoDraw = False
6.2128 	EXP 	text_2: autoDraw = False
6.2128 	EXP 	text_3: autoDraw = True
7.1819 	EXP 	New trial (rep=1, index=0): None
7.1821 	EXP 	window1: recordFrameIntervals = False
7.1968 	EXP 	text_3: autoDraw = False
7.1968 	EXP 	text_3: autoDraw = False
7.1968 	EXP 	text: autoDraw = True
7.1970 	EXP 	window1: recordFrameIntervals = False
8.1639 	EXP 	text_2: autoDraw = True
8.3474 	EXP 	text_2: autoDraw = False
8.3479 	DATA 	Keypress: space
8.3641 	EXP 	text: autoDraw = False
8.3641 	EXP 	text_2: autoDraw = False
8.3641 	EXP 	text_3: autoDraw = True
9.3500 	EXP 	New trial (rep=2, index=0): None
9.3504 	EXP 	window1: recordFrameIntervals = False
9.3650 	EXP 	text_3: autoDraw = False
9.3650 	EXP 	text_3: autoDraw = False
9.3650 	EXP 	text: autoDraw = True
9.3652 	EXP 	window1: recordFrameIntervals = False
