xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.611001968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,0,0,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,31.74119306,q,1,0.400954008,None,0.502416134,0.005045176,34.74599409,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,1,1,5,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,34.77395511,q,1,0.36750102,None,0.505532026,0.001536846,37.76533508,3.019340992,2.991379976,0.027961016,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,2,2,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,37.80609703,q,1,0.534166098,None,0.509503126,0.001743078,40.80124307,3.035907984,2.995146036,0.040761948,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,3,3,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,40.85212898,w,1,0.417504072,None,0.515851021,0.001657009,43.85365105,3.05240798,3.001522064,0.050885916,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,0,4,4,6,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,43.91153097,s,1,0.267384052,None,0.508823872,0.001708984,46.90601492,3.052363873,2.994483948,0.057879925,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,5,5,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,46.97393894,w,1,0.334103107,None,0.515494108,0.001069069,49.97516394,3.069149017,3.001224995,0.067924023,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,6,6,8,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,50.05087399,w,1,0.300828934,None,0.507554054,0.001055002,53.04385996,3.068696022,2.992985964,0.075710058,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,0,7,7,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,53.12697196,a,1,0.334228992,None,0.500264883,0.001675844,56.13304996,3.089190006,3.006078005,0.083112001,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,0,8,8,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,56.22593093,s,1,0.334125042,None,0.503987074,0.001044035,59.215698,3.082648039,2.989767075,0.092880964,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,0,9,9,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,59.3157649,a,1,0.434143066,None,0.500037909,0.001091003,62.31828094,3.102582932,3.002516031,0.1000669,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,63.74942398,,,,,,,66.75656104,4.438280106,3.00713706,1.431143045,0.25,stop,invertedtrianglemagenta.gif,z,1,0.550897121,None,0,0,0,1,0,0,0,0.002130985,0.50299716,0.753167152,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,66.75705409,,,,,,,69.75841594,3.001854897,3.001361847,0.00049305,0.25,stop,squareblue.gif,m,1,0.450819969,None,0,0,0,2,0,0,0,0.001017094,0.514883995,0.765054941,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,69.75889111,,,,,,,72.76109099,3.002675057,3.002199888,0.000475168,-1,go,circlewhite.gif,None,0,,z,1,0,0,2,0,1,0,0.001118183,0.5152421,,0.082992077,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,72.76156902,,,,,,,75.76310802,3.002017021,3.001538992,0.000478029,-1,go,trianglegreen.gif,None,0,,None,2,0,0,2,0,2,0,0.00112915,0.514869213,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,75.76365209,,,,,,,78.76532006,3.002212048,3.001667976,0.000544071,0.25,stop,squareblue.gif,None,0,,None,2,0,0,3,1,2,0,0.00117588,0.515225887,0.765393972,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
