Color,Shape,StopOrGo,Amount,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,RewardAmountLoop.thisRepN,RewardAmountLoop.thisTrialN,RewardAmountLoop.thisN,RewardAmountLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
blue,,,,0,0,0,7,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
cyan,,,,0,1,1,6,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
yellow,,,,0,2,2,0,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
green,,,,0,3,3,4,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
gray,,,,0,4,4,5,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
magenta,,,,0,5,5,3,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
orange,,,,0,6,6,2,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
white,,,,0,7,7,1,,,,,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,square,,,,,,,0,0,0,1,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,line,,,,,,,0,1,1,2,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,diamond,,,,,,,0,2,2,5,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,hexagon,,,,,,,0,3,3,4,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,invertedTriangle,,,,,,,0,4,4,3,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,triangle,,,,,,,0,5,5,0,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,cross,,,,,,,0,6,6,6,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,circle,,,,,,,0,7,7,7,,,,,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Stop,2,,,,,,,,,0,0,0,4,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Stop,1,,,,,,,,,0,1,1,2,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Go,2,,,,,,,,,0,2,2,5,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Go,4,,,,,,,,,0,3,3,7,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Stop,0.5,,,,,,,,,0,4,4,0,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Go,1,,,,,,,,,0,5,5,3,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Stop,4,,,,,,,,,0,6,6,6,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,Go,0.5,,,,,,,,,0,7,7,1,,,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
,,,,,,,,,,,,,,,,space,0.859388828278,LearningTask,m,30,59.9614581844,3,2015_Mar_04_1447,11,
