xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,computedRewardOutput,key_resp_8.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.670867919922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,s,-200,,,,0,0,0,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,46.5784809589,s,1,0.370953083038,None,0.513210058212,0.0060601234436,49.5775001049,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,s,-200,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,1,1,5,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,49.6063649654,q,1,0.317445993423,None,0.50460100174,0.0017249584198,52.5968129635,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,w,200,,,,0,2,2,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,52.6407768726,w,1,0.250748872757,None,0.506123065948,0.00169110298157,55.6322438717,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,w,200,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,3,3,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,55.6804909706,q,1,0.333624839783,None,0.501878976822,0.00102591514587,58.6844739914,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,4,4,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,58.7410559654,q,1,0.367480039597,None,0.51015996933,0.00169801712036,61.736905098,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
-200,q,200,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,w,200,,,,0,5,5,8,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,61.803812027,w,1,0.367228031158,None,0.516628980637,0.00165677070618,64.806139946,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
200,w,200,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9743190105,3,2015_May_29_1523,11,
