corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,1.78701996803,,,,,,,,,,,,,,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,0.25,stop,squaregray.gif,None,0,0,0,0,1,1,0,0,0.3,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,-1,go,invertedtriangleorange.gif,m,1,1,0.384336948395,1,1,1,0,0,-1,0.384336948395,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,-1,go,invertedtriangleorange.gif,m,1,2,0.80162191391,2,1,1,0,0,-1,0.417284965515,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,-1,go,diamondcyan.gif,m,1,3,1.31896996498,3,1,1,0,0,-1,0.517348051071,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,-1,go,circlewhite.gif,m,0,4,1.31896996498,3,1,1,0,1,-1,0.583997011185,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,-1,go,trianglegreen.gif,m,0,5,1.31896996498,3,1,1,0,2,-1,0.534218072891,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,0.25,stop,crossmagenta.gif,z,0,5,1.31896996498,3,2,1,0,2,0.2,0.367485046387,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,circlewhite.gif,None,0,6,1.31896996498,3,2,1,1,3,-1,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,0.3,stop,squaregray.gif,None,0,6,1.31896996498,3,3,2,1,3,0.35,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,-1,go,trianglegreen.gif,None,0,7,1.31896996498,3,3,2,2,4,-1,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,0.35,stop,crossmagenta.gif,None,0,7,1.31896996498,3,4,3,2,4,0.4,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,0.2,stop,hexagonblue.gif,None,0,7,1.31896996498,3,5,4,2,4,0.25,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,0.4,stop,crossmagenta.gif,None,0,7,1.31896996498,3,6,5,2,4,0.45,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,-1,go,lineyellow.gif,None,0,8,1.31896996498,3,6,5,3,5,-1,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,-1,go,trianglegreen.gif,None,0,9,1.31896996498,3,6,5,4,6,-1,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,0.25,stop,hexagonblue.gif,None,0,9,1.31896996498,3,7,6,4,6,0.3,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,0.45,stop,diamondcyan.gif,None,0,9,1.31896996498,3,8,7,4,6,0.5,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,0.5,stop,hexagonblue.gif,None,0,9,1.31896996498,3,9,8,4,6,0.55,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,0.3,stop,hexagonblue.gif,None,0,9,1.31896996498,3,10,9,4,6,0.35,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,0.35,stop,hexagonblue.gif,None,0,9,1.31896996498,3,11,10,4,6,0.4,,LearningTask,,,60.1214094969,3,2015_Mar_31_1530,123,
