pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionBlocks.thisTrial,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,auctionTrials.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.452798843384,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.14359998703,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.149049043655,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.216758012772,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,0,None,,,,,,,space,0.381963968277,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,1,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,2,0,2,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,3,0,3,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,4,0,4,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,5,0,5,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,6,0,6,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,7,0,7,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,8,0,8,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,9,0,9,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,10,0,10,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,11,0,11,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,12,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,13,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
,,,,,,,,,,,,,,,,0,0,0,0,None,14,0,14,0,None,,,,,,,,,LearningTask,,,60.0312300071,3,2015_Apr_10_1728,15,
