xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.02729797363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,0,0,3,0,0,0,0,None,,,,,,,,,,,,,,,,12.9619579315,a,1,0.367551088333,None,0.503821134567,0.00488710403442,15.9513380527,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,1,1,2,0,0,0,0,None,,,,,,,,,,,,,,,,15.9834890366,s,1,0.317498922348,None,0.501368999481,0.0015971660614,18.9873530865,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,2,2,8,0,0,0,0,None,,,,,,,,,,,,,,,,19.0308721066,w,1,0.217427968979,None,0.506427049637,0.00137400627136,22.0230431557,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,0,0,0,0,None,,,,,,,,,,,,,,,,22.0742659569,None,0,,None,0.515398979187,0.00162410736084,25.0753679276,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,1,0,1,0,None,,,,,,,,,,,,,,,,25.0759489536,None,0,,None,0.516011953354,0.00123882293701,28.0776259899,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,2,0,2,0,None,,,,,,,,,,,,,,,,28.0782589912,None,0,,None,0.516076087952,0.00128293037415,31.096724987,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,3,0,3,0,None,,,,,,,,,,,,,,,,31.0974831581,None,0,,None,0.515820980072,0.00126600265503,34.0988900661,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,4,0,4,0,None,,,,,,,,,,,,,,,,34.0995061398,None,0,,None,0.516246080399,0.00123500823975,37.1015789509,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,0,0,0,0,None,,,,,,,,,,,,,,,,37.1576249599,None,0,,None,0.51080083847,0.00092601776123,40.1537511349,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,1,0,1,0,None,,,,,,,,,,,,,,,,40.1541919708,None,0,,None,0.51646399498,0.000974893569946,43.1561999321,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,2,0,2,0,None,,,,,,,,,,,,,,,,43.1566250324,None,0,,None,0.516404867172,0.000945091247559,46.1588630676,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,3,0,3,0,None,,,,,,,,,,,,,,,,46.1593649387,None,0,,None,0.516228914261,0.000982999801636,49.1610870361,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,4,0,4,0,None,,,,,,,,,,,,,,,,49.1615209579,None,0,,None,0.516386985779,0.00107383728027,52.1635320187,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,0,0,0,0,None,,,,,,,,,,,,,,,,52.2239420414,None,0,,None,0.506258010864,0.000988006591797,55.2159581184,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,1,0,1,0,None,,,,,,,,,,,,,,,,55.2163980007,None,0,,None,0.516381025314,0.0010130405426,58.2178390026,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,2,0,2,0,None,,,,,,,,,,,,,,,,58.2182681561,None,0,,None,0.516335010529,0.000952959060669,61.2206470966,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,3,0,3,0,None,,,,,,,,,,,,,,,,61.2212240696,None,0,,None,0.516283988953,0.00127291679382,64.2230081558,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,4,0,4,0,None,,,,,,,,,,,,,,,,64.2234289646,None,0,,None,0.516404867172,0.000962018966675,67.2254760265,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,a,-200,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,0,0,0,0,None,,,,,,,,,,,,,,,,67.2957141399,None,0,,None,0.513040065765,0.00163197517395,70.2949259281,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,1,0,1,0,None,,,,,,,,,,,,,,,,70.2955460548,None,0,,None,0.515850067139,0.00108695030212,73.2969911098,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,2,0,2,0,None,,,,,,,,,,,,,,,,73.2973999977,None,0,,None,0.516261816025,0.000969886779785,76.2993431091,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,3,0,3,0,None,,,,,,,,,,,,,,,,76.299834013,None,0,,None,0.51624584198,0.00097393989563,79.3016090393,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,4,0,4,0,None,,,,,,,,,,,,,,,,79.3020730019,None,0,,None,0.516438961029,0.00105810165405,82.3038699627,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,s,-200,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,0,0,0,0,None,,,,,,,,,,,,,,,,82.3777549267,None,0,,None,0.509536981583,0.00155901908875,85.3734381199,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,1,0,1,0,None,,,,,,,,,,,,,,,,85.3740861416,None,0,,None,0.51585483551,0.00137901306152,88.3759679794,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,2,0,2,0,None,,,,,,,,,,,,,,,,88.3766810894,None,0,,None,0.515598058701,0.00146508216858,91.3780810833,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,3,0,3,0,None,,,,,,,,,,,,,,,,91.3787090778,None,0,,None,0.515897035599,0.00153088569641,94.3803670406,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,4,0,4,0,None,,,,,,,,,,,,,,,,94.3808031082,None,0,,None,0.516422986984,0.00103712081909,97.3827321529,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
200,w,200,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,8,8,9,0,0,0,0,None,,,,,,,,,,,,,,,,97.4655399323,None,0,,None,0.500839948654,0.000937938690186,100.468508959,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,8,8,9,1,0,1,0,None,,,,,,,,,,,,,,,,100.469078064,None,0,,None,0.516149044037,0.00121092796326,103.471019983,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,8,8,9,2,0,2,0,None,,,,,,,,,,,,,,,,103.471596956,None,0,,None,0.516065835953,0.00152492523193,106.473340034,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,8,8,9,3,0,3,0,None,,,,,,,,,,,,,,,,106.474085093,None,0,,None,0.515898942947,0.00133800506592,109.475716114,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,8,8,9,4,0,4,0,None,,,,,,,,,,,,,,,,109.47655797,None,0,,None,0.515715122223,0.00175499916077,112.478389978,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
