xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,13.4357681274,,,,,,,,,,,,,,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
,,,,,,,,,,,,,,,,,,,,,space,1.01553893089,,,,,,,,,,,,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
,,,,,,,,,,,,,,,,,,,space,0.749156951904,,,,,,,,,,,,,,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,0,0,0,3,,,,,21.3650400639,21.3652350903,21.3654911518,a,1,0.417439937592,None,1.82,0.511098146439,0.00348496437073,24.3622469902,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,0,1,1,0,,,,,24.3629131317,24.3630609512,24.3632571697,w,1,0.317452192307,None,0.28,0.515861988068,0.00155806541443,27.3648710251,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,0,2,2,3,,,,,27.3657021523,27.3659050465,27.3661119938,a,1,0.351219892502,None,0.88,0.515305995941,0.00246095657349,30.3672299385,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,0,3,3,3,,,,,30.3678629398,30.3680210114,30.3682329655,a,1,0.367431879044,None,3.83,0.515489816666,0.00209498405457,33.3693981171,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,1,0,4,3,,,,,33.3702399731,33.3705050945,33.3707001209,a,1,0.367449045181,None,1.17,0.515450000763,0.00226497650146,36.371899128,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,1,1,5,2,,,,,36.3728821278,36.3731191158,36.3733899593,s,1,0.267493963242,None,2.25,0.515069007874,0.00162220001221,39.3741819859,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,1,2,6,0,,,,,39.3751211166,39.3753290176,39.3756160736,w,1,0.35066986084,None,1.94,0.515032052994,0.0011990070343,42.3764741421,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,1,3,7,2,,,,,42.3773109913,42.3775219917,42.377794981,s,1,0.350745916367,None,4.19,0.515400886536,0.00121307373047,45.3790910244,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,2,0,8,2,,,,,45.3798429966,45.3799891472,45.3801791668,s,1,0.333980083466,None,4.04,0.515632152557,0.00101399421692,48.3813509941,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,2,1,9,0,,,,,48.3825769424,48.3828840256,48.3832840919,w,1,0.334630012512,None,4.11,0.514587879181,0.00139999389648,51.3838591576,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
