xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,4.39527106285,,,,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
-200,a,-200,0,0,0,7,,,,,,,,,,,,,,,a,1,0.401119947433,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
200,w,200,0,1,1,8,,,,,,,,,,,,,,,w,1,0.351194858551,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
-200,q,200,0,2,2,1,,,,,,,,,,,,,,,q,1,0.36777305603,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
200,s,-200,0,3,3,6,,,,,,,,,,,,,,,s,1,0.350833892822,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
200,w,200,0,4,4,4,,,,,,,,,,,,,,,w,1,0.35111284256,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
-200,q,200,0,5,5,9,,,,,,,,,,,,,,,q,1,0.317631959915,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
200,s,-200,0,6,6,2,,,,,,,,,,,,,,,s,1,0.267712116241,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
-200,q,200,0,7,7,5,,,,,,,,,,,,,,,q,1,0.350806951523,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
200,w,200,0,8,8,0,,,,,,,,,,,,,,,w,1,0.267553091049,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
-200,a,-200,0,9,9,3,,,,,,,,,,,,,,,a,1,0.334573984146,,,,,,LearningTask,,,59.9922476296,3,2015_Apr_10_1412,1,
