xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,FeedbackOffTimestamp,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.547828197479,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,0,0,0,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.569474935532,0.514369010925,0.00607991218567,<psychopy.clock.Clock instance at 0x1b57b468>,<psychopy.clock.Clock instance at 0x1b57b6e8>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,1,1,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.300852060318,0.504191875458,0.00192284584045,<psychopy.clock.Clock instance at 0x1dfef990>,<psychopy.clock.Clock instance at 0x1b5a32d8>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,2,2,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.334323883057,0.512984037399,0.00152802467346,<psychopy.clock.Clock instance at 0x1dfe2b20>,<psychopy.clock.Clock instance at 0x1b5a5440>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,3,3,5,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.367563962936,0.501610040665,0.000979900360107,<psychopy.clock.Clock instance at 0x1dfeb508>,<psychopy.clock.Clock instance at 0xae3db70>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,4,4,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.434380054474,0.5097219944,0.00170683860779,<psychopy.clock.Clock instance at 0xae44af8>,<psychopy.clock.Clock instance at 0xae44800>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,0,5,5,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.284113168716,0.501671075821,0.0011100769043,<psychopy.clock.Clock instance at 0xae3c5d0>,<psychopy.clock.Clock instance at 0xae3cc88>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,0,6,6,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.300677061081,0.51523399353,0.000941038131714,<psychopy.clock.Clock instance at 0x1bbc2738>,<psychopy.clock.Clock instance at 0x1d739e90>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,7,7,8,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.284069061279,0.509517908096,0.00166797637939,<psychopy.clock.Clock instance at 0x1d73a3f0>,<psychopy.clock.Clock instance at 0x1d73ab48>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,0,8,8,6,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.334108114243,0.500003099442,0.00098705291748,<psychopy.clock.Clock instance at 0x1b58f148>,<psychopy.clock.Clock instance at 0x1d73a648>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,9,9,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.367504119873,0.509506940842,0.00165891647339,<psychopy.clock.Clock instance at 0x1d737350>,<psychopy.clock.Clock instance at 0x1d737b98>,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,<psychopy.clock.Clock instance at 0x1d905d78>,0.25,stop,hexagonblue.gif,None,0,0,0,0,1,1,0,0,0.00143313407898,0.515422105789,0.76550412178,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
