xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.97235417366,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,g,1,0.484213113785,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,y,1,0.434108972549,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,h,1,0.417808055878,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,y,1,0.353145122528,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,1,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,h,1,0.384109973907,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,1,1,5,1,0,0,0,0,,,,,,,,,,,,,,,,,t,1,0.400185823441,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,1,2,6,1,0,0,0,0,,,,,,,,,,,,,,,,,t,1,0.513393878937,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,1,3,7,3,0,0,0,0,,,,,,,,,,,,,,,,,g,1,0.417809009552,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,0,0,0,3,0,0,0,0,None,,,g,1,0.500817060471,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,0,0,0,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,0,1,1,2,0,0,0,0,None,,,y,0,0.500834941864,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,0,1,1,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,0,2,2,1,0,0,0,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,0,2,2,1,1,0,1,0,None,,,t,1,0.401006937027,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,0,2,2,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,0,3,3,0,0,0,0,0,None,,,y,1,0.450986146927,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,0,3,3,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,1,0,4,2,0,0,0,0,None,,,h,1,0.400753974915,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,1,0,4,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,1,1,5,0,0,0,0,0,None,,,y,1,0.468002080917,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,1,1,5,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,2,6,1,0,0,0,0,None,,,h,0,0.584488153458,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,0,0,0,0,None,,,t,1,0.601095914841,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,1,0,1,0,None,,,h,0,0.417881011963,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,1,3,7,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,0,0,0,0,None,,,g,1,0.46741604805,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,1,0,1,0,None,,,g,1,0.485601902008,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,2,0,8,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,2,1,9,2,0,0,0,0,None,,,y,0,0.552127122879,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
