xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.427322864532,,,,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,g,1,0.467988014221,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,y,200,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,y,1,0.517710208893,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,h,1,0.434459924698,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,g,1,0.551329135895,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,y,200,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,y,1,0.434583902359,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,t,1,0.46799993515,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,h,1,0.334350824356,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
-200,t,200,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,t,1,0.433700084686,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,0,0,0,0,None,,,h,1,0.617929935455,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,1,0,1,0,None,,,h,1,0.551300048828,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,2,0,2,0,None,,,h,1,0.584372997284,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,3,0,3,0,None,,,h,1,0.417922019958,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,4,0,4,0,None,,,h,1,0.384155988693,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,5,0,5,0,None,,,y,0,0.367659807205,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,6,0,6,0,None,,,h,1,0.417423963547,LearningTask,,,59.947403325,3,2015_Mar_19_0955,207,
