pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,auctionResponse.keys,auctionResponse.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,1.46643900871,,,,,,,,,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.929239988327,,,,,,,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,,,,,,,,,space,2.26642799377,,,,,,,,,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.26539993286,,,,,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,space,1.03082990646,r,1.61764383316,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,u,1.81780815125,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,o,1.7833480835,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,r,1.90040802956,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,y,1.36667990685,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,y,0.934410095215,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,t,1.34894585609,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,r,1.4018509388,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,u,2.66787195206,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,o,1.5837957859,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,t,1.48400688171,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,i,1.66673898697,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,i,1.28521490097,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,y,1.26775503159,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,o,1.68419599533,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,t,1.00153517723,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,u,1.61774301529,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,u,1.63413500786,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,t,1.73313784599,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,u,1.65047907829,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,LearningTask,,,59.7903355942,3,2015_Apr_12_1039,20,
