xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthEndTrialTimeStamp,key_resp_8.rt,expName,gender (m/f),age,frameRate,session,date,participant
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.521628857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.648981094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.465759993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,0,0,0,3,,,,,,,,,,37.88582397,,37.88708115,a,1,0.351022959,None,0.89,0.514379025,0.00564599,0.351022959,1,40.88886619,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,,,,,,,,,,40.89002013,3.004196167,40.89146209,w,1,0.250839949,None,0.91,0.512527943,0.001146078,0.250839949,1,43.89108109,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,0,2,2,3,,,,,,,,,,43.89163709,3.001616955,43.89274001,a,1,0.400834084,None,2.24,0.513875961,0.000892878,0.400834084,1,46.89317703,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
200,s,-200,,,,,,,,,0,0,0,0,None,0,3,3,2,,,,,,,,,,46.89379907,3.00216198,46.89508009,s,1,0.367515087,None,0.4,0.513490915,0.001859903,0.367515087,1,49.89577818,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,q,200,,,,,,,,,0,0,0,0,None,1,0,4,1,,,,,,,,,,49.89656711,3.00276804,49.89868712,q,1,0.300847054,None,3.76,0.512415886,0.002300024,0.300847054,1,52.89796519,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,1,1,5,3,,,,,,,,,,52.89856815,3.002001047,52.89998317,a,1,0.350919962,None,2.02,0.513790846,0.001983881,0.350919962,1,55.90052605,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
-200,a,-200,,,,,,,,,0,0,0,0,None,1,2,6,3,,,,,,,,,,55.90131712,3.002748966,55.90261102,a,1,0.384294987,None,1.03,0.513442039,0.001578093,0.384294987,1,58.90307117,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.92616215,3,2015_Jun_02_1141,20
