xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.275166988373,,,,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,y,1,0.28414106369,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,g,1,0.38423705101,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,y,1,0.484033107758,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,h,1,0.467479944229,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,t,1,0.300627946854,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,t,1,0.467414140701,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
-200,g,-200,1,2,6,3,,,,,,,,,,,,,,,,,,,,,,g,1,0.500979185104,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
200,h,-200,1,3,7,2,,,,,,,,,,,,,,,,,,,,,,h,1,0.367516040802,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
200,h,-200,,,,,,,,,,0,0,0,0,None,0,0,0,2,,,,,,,,h,1,0.267407894135,LearningTask,,,59.9631726425,3,2015_Mar_19_1020,222,
