xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.482371091843,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
200,w,200,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367455005646,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
-200,q,200,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384286165237,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
200,w,200,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.167098999023,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
-200,a,-200,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367428064346,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
200,s,-200,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.267522096634,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
-200,q,200,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.350646972656,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.383978843689,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
200,w,200,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.384319067001,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
200,s,-200,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.284053087234,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
-200,q,200,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384420156479,,,,,,,,,,,,,,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0.25,stop,crossorange.gif,z,1,0.350694179535,0,0,0,1,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,-1,go,lineblue.gif,m,1,0.567537069321,1,0.567537069321,1,1,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,0.25,stop,invertedtriangleyellow.gif,z,1,0.450870037079,1,0.567537069321,1,2,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,-1,go,crossorange.gif,m,1,0.367154121399,2,0.93469119072,2,2,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,-1,go,diamondgreen.gif,z,1,0.534176111221,3,1.46886730194,3,2,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,-1,go,hexagoncyan.gif,m,1,0.350847005844,4,1.81971430779,4,2,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,-1,go,squarewhite.gif,m,1,0.400970935822,5,2.22068524361,5,2,0,0,0,,,LearningTask,,,59.9711461609,3,2015_Apr_01_1409,2312,
