corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.300466060638,,,,,,,,,,,,,,,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,-1,go,circlegreen.gif,m,1,0.350340127945,1,0.350340127945,1,0,0,0,0,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,0.25,stop,squareblue.gif,m,1,0.317081928253,1,0.350340127945,1,1,0,0,0,0.2,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,-1,go,lineyellow.gif,m,1,0.300436019897,2,0.650776147842,2,1,0,0,0,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,-1,go,lineyellow.gif,z,1,0.366930007935,3,1.01770615578,3,1,0,0,0,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,-1,go,hexagongray.gif,m,1,0.316915988922,4,1.3346221447,4,1,0,0,0,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,-1,go,lineyellow.gif,m,0,0.367053031921,5,1.3346221447,4,1,0,0,1,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,-1,go,circlegreen.gif,z,0,0.350470066071,6,1.3346221447,4,1,0,0,2,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,-1,go,hexagongray.gif,z,0,0.35048699379,7,1.3346221447,4,1,0,0,3,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,-1,go,hexagongray.gif,z,0,0.366873025894,8,1.3346221447,4,1,0,0,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,0.25,stop,trianglewhite.gif,m,0,0.383798837662,8,1.3346221447,4,2,0,0,4,0.2,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,-1,go,squareblue.gif,None,0,,9,1.3346221447,4,2,0,1,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,-1,go,lineyellow.gif,None,0,,10,1.3346221447,4,2,0,2,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,0.2,stop,trianglewhite.gif,None,0,,10,1.3346221447,4,3,1,2,4,0.25,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,circlegreen.gif,None,0,,11,1.3346221447,4,3,1,3,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,0.25,stop,squareblue.gif,None,0,,11,1.3346221447,4,4,2,3,4,0.3,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,0.3,stop,invertedtriangleorange.gif,None,0,,11,1.3346221447,4,5,3,3,4,0.35,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,-1,go,hexagongray.gif,None,0,,12,1.3346221447,4,5,3,4,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,0.35,stop,trianglewhite.gif,None,0,,12,1.3346221447,4,6,4,4,4,0.4,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,-1,go,diamondmagenta.gif,None,0,,13,1.3346221447,4,6,4,5,4,-1,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,0.2,stop,crosscyan.gif,None,0,,13,1.3346221447,4,7,5,5,4,0.25,LearningTask,,,59.2480255621,3,2015_Mar_31_1603,2424,
