xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,0.983268976212,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,s,-200,0,0,0,2,0,0,0,2,,,s,1,0.534621953964,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,s,-200,0,0,0,2,,,,,,,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
-200,a,-200,0,1,1,3,0,0,0,3,,,a,1,0.384363889694,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
-200,a,-200,0,1,1,3,,,,,,,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,s,-200,0,2,2,0,0,0,0,2,,,s,1,0.384046792984,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,w,200,0,2,2,0,,,,,,,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
-200,a,-200,0,3,3,1,0,0,0,3,,,a,1,0.367527008057,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
-200,q,200,0,3,3,1,,,,,,,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,w,200,1,0,4,0,0,0,0,0,,,w,1,0.384159088135,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
200,w,200,1,0,4,0,,,,,,,,,,LearningTask,,,59.9456040933,3,2015_Apr_01_1230,2523,
