xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.285336017609,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,,,,,t,0,0.734652996063,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,y,0,0.48477101326,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,0,1,1,2,1,0,1,0,,,,,,,,,,,h,1,0.367513179779,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,0,2,2,1,0,0,0,0,,,,,,,,,,,y,0,0.485818862915,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,0,2,2,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,g,0,0.517874956131,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,0,3,3,0,1,0,1,0,,,,,,,,,,,y,1,0.283857822418,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,t,1,0.350744962692,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,1,1,5,2,0,0,0,0,,,,,,,,,,,h,1,0.350800037384,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,1,1,5,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,1,2,6,3,0,0,0,0,,,,,,,,,,,g,1,0.317581176758,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,1,2,6,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,1,3,7,0,0,0,0,0,,,,,,,,,,,y,1,0.300899028778,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,1,3,7,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,,,,,,,,,0,0,0,3,0,0,0,0,,,y,0,0.217353105545,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,g,-200,,,,,,,,,0,0,0,3,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,,,,,,,,,0,1,1,2,0,0,0,0,,,h,1,0.351044893265,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,,,,,,,,,0,1,1,2,1,0,1,0,,,t,0,0.35075879097,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,h,-200,,,,,,,,,0,1,1,2,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,,,,,,,,,0,2,2,1,0,0,0,0,,,t,1,0.35070514679,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,,,,,,,,,0,2,2,1,1,0,1,0,,,t,1,0.417356014252,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
-200,t,200,,,,,,,,,0,2,2,1,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,,,y,1,0.350823879242,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
200,y,200,,,,,,,,,0,3,3,0,,,,,,,,,,LearningTask,,,59.9732899414,3,2015_Mar_18_1617,25,
