xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.259697914124,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,,,,,h,0,0.751721143723,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,,h,1,0.551181077957,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,h,-200,0,1,1,2,1,0,1,0,,,,,,,,,,,,h,1,0.384479045868,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,,g,1,0.384166002274,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,,,,,,g,1,0.434416055679,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,,t,1,0.384420871735,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,1,1,5,0,0,0,0,0,,,,,,,,,,,,y,1,0.334209918976,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,1,1,5,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,1,2,6,1,0,0,0,0,,,,,,,,,,,,t,1,0.350798130035,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,1,2,6,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,h,-200,1,3,7,2,0,0,0,0,,,,,,,,,,,,h,1,0.434309959412,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,h,-200,1,3,7,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,,,,,,,,,0,0,0,1,0,0,0,0,None,,,t,1,0.55091381073,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,,,,,,,,,0,0,0,1,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,,,,,,,,,0,1,1,0,0,0,0,0,None,,,y,1,0.350853919983,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,,,,,,,,,0,1,1,0,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,,,,,,,,,0,2,2,1,0,0,0,0,None,,,h,0,0.451056957245,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
-200,t,200,,,,,,,,,0,2,2,1,,,,,,,,,,,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,None,,,y,1,0.367540121078,LearningTask,,,59.9347253262,3,2015_Mar_18_1613,294,
