xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.05144500732,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.3010160923,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.33434510231,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.300925970078,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.350941896439,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384020090103,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350399971008,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.250928878784,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.26721405983,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.283935070038,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350988864899,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,go,hexagonorange.gif,z,1,0.334374904633,1,0.334374904633,1,0,0,0,0,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,go,circlegray.gif,m,1,0.367449045181,2,0.701823949814,2,0,0,0,0,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
,,,m,0,200,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,stop,diamondblue.gif,m,1,0.400578975677,2,0.701823949814,2,1,0,0,0,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
,,,z,0,-200,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,go,invertedtrianglegreen.gif,z,1,0.350808143616,3,1.05263209343,3,1,0,0,0,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
