color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,down,3.39328503609,,,,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,1,green,down,0,0,0,2,,,down,1,0.851014137268,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,0,green,right,0,1,1,3,,,right,1,0.567455053329,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,0,red,down,0,2,2,1,,,down,1,0.453582048416,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,1,blue,right,0,3,3,4,,,right,1,0.500234127045,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,0,blue,left,0,4,4,5,,,left,1,0.435138940811,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,1,red,left,0,5,5,0,,,left,1,0.548933982849,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,1,green,down,1,0,6,2,,,down,1,0.381031990051,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,0,blue,left,1,1,7,5,,,left,1,0.730521202087,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,0,red,down,1,2,8,1,,,down,1,0.517678976059,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,1,blue,right,1,3,9,4,,,right,1,0.403110027313,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,0,green,right,1,4,10,3,,,right,1,0.495853185654,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,1,red,left,1,5,11,0,,,left,1,0.477399110794,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,0,green,right,2,0,12,3,,,right,1,0.53421497345,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,1,red,left,2,1,13,0,,,down,0,0.519713878632,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,0,red,down,2,2,14,1,,,down,1,0.458995103836,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,1,green,down,2,3,15,2,,,down,1,0.550636053085,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,1,blue,right,2,4,16,4,,,right,1,0.551165103912,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,0,blue,left,2,5,17,5,,,left,1,0.765612840652,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,0,blue,left,3,0,18,5,,,left,1,0.483510017395,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,1,red,left,3,1,19,0,,,left,1,0.451640844345,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,0,red,down,3,2,20,1,,,down,1,0.821203947067,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,0,green,right,3,3,21,3,,,right,1,0.452039003372,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,1,blue,right,3,4,22,4,,,right,1,0.367118835449,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,1,green,down,3,5,23,2,,,down,1,0.486373186111,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,1,blue,right,4,0,24,4,,,right,1,0.350214004517,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,1,green,down,4,1,25,2,,,down,1,0.467628002167,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,0,blue,left,4,2,26,5,,,left,1,0.368021011353,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
red,1,red,left,4,3,27,0,,,left,1,0.432456970215,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
green,0,red,down,4,4,28,1,,,down,1,0.433028936386,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
blue,0,green,right,4,5,29,3,,,right,1,0.568448066711,2014_Dec_02_1326,59.5645598095,stroopTest,001,2,
