9.9523 	WARNING 	Movie2 stim could not be imported and won't be available
10.2502 	WARNING 	TextBox stim could not be imported and won't be available.
10.2502 	WARNING 	TextBox Font Manager Found No Fonts.
17.7408 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xd91f490>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7408 	EXP 	window1: recordFrameIntervals = False
17.9067 	EXP 	window1: recordFrameIntervals = True
18.0914 	EXP 	window1: recordFrameIntervals = False
18.8424 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.8492 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='target', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
18.8716 	EXP 	instrText: autoDraw = True
22.2415 	DATA 	Keypress: down
22.2508 	EXP 	Imported StroopInput.xlsx as conditions, 6 conditions, 4 params
22.2512 	EXP 	Created sequence: random, trialTypes=6, nReps=5, seed=None
22.2523 	EXP 	New trial (rep=0, index=0): {u'color': u'green', u'congruent': 1, u'word': u'green', u'corrAns': u'down'}
22.2554 	EXP 	window1: recordFrameIntervals = False
22.2742 	EXP 	instrText: autoDraw = False
22.2742 	EXP 	target: color = u'green (named)'
22.2742 	EXP 	target: text = u'green'
22.2744 	EXP 	window1: recordFrameIntervals = False
22.7914 	EXP 	target: autoDraw = True
23.6249 	DATA 	Keypress: down
23.6267 	EXP 	New trial (rep=0, index=1): {u'color': u'blue', u'congruent': 0, u'word': u'green', u'corrAns': u'right'}
23.6307 	EXP 	window1: recordFrameIntervals = False
23.6409 	EXP 	target: autoDraw = False
23.6409 	EXP 	target: color = u'blue (named)'
23.6409 	EXP 	target: text = u'green'
23.6410 	EXP 	window1: recordFrameIntervals = False
24.1743 	EXP 	target: autoDraw = True
24.7252 	DATA 	Keypress: right
24.7266 	EXP 	New trial (rep=0, index=2): {u'color': u'green', u'congruent': 0, u'word': u'red', u'corrAns': u'down'}
24.7307 	EXP 	window1: recordFrameIntervals = False
24.7411 	EXP 	target: autoDraw = False
24.7411 	EXP 	target: color = u'green (named)'
24.7411 	EXP 	target: text = u'red'
24.7413 	EXP 	window1: recordFrameIntervals = False
25.2580 	EXP 	target: autoDraw = True
25.6929 	DATA 	Keypress: down
25.6942 	EXP 	New trial (rep=0, index=3): {u'color': u'blue', u'congruent': 1, u'word': u'blue', u'corrAns': u'right'}
25.6983 	EXP 	window1: recordFrameIntervals = False
25.7082 	EXP 	target: autoDraw = False
25.7082 	EXP 	target: color = u'blue (named)'
25.7082 	EXP 	target: text = u'blue'
25.7083 	EXP 	window1: recordFrameIntervals = False
26.2414 	EXP 	target: autoDraw = True
26.7252 	DATA 	Keypress: right
26.7259 	EXP 	New trial (rep=0, index=4): {u'color': u'red', u'congruent': 0, u'word': u'blue', u'corrAns': u'left'}
26.7285 	EXP 	window1: recordFrameIntervals = False
26.7414 	EXP 	target: autoDraw = False
26.7414 	EXP 	target: color = u'red (named)'
26.7414 	EXP 	target: text = u'blue'
26.7414 	EXP 	window1: recordFrameIntervals = False
27.2583 	EXP 	target: autoDraw = True
27.6596 	DATA 	Keypress: left
27.6784 	EXP 	New trial (rep=0, index=5): {u'color': u'red', u'congruent': 1, u'word': u'red', u'corrAns': u'left'}
27.6822 	EXP 	window1: recordFrameIntervals = False
27.6926 	EXP 	target: autoDraw = False
27.6926 	EXP 	target: color = u'red (named)'
27.6926 	EXP 	target: text = u'red'
27.6927 	EXP 	window1: recordFrameIntervals = False
28.2252 	EXP 	target: autoDraw = True
28.7593 	DATA 	Keypress: left
