corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.35467004776,,,,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,m,1,0.667815923691,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.233943223953,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,z,1,0.350924968719,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.317119121552,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,z,1,0.40065407753,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,m,1,0.30068898201,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.383832931519,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.317220926285,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
,,,,,,,0,0,0,0,None,,,,,,,,,,space,3.25726509094,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
m,0,200,,,,,1,0,1,0,None,0,0,0,1,,,m,1,0.751304149628,,,LearningTask,,,59.9416632963,3,2015_Mar_31_0952,3004,
