corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.259609937668,,,,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,0,0,0,0,0,0,0,1,,,None,0,,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,0,0,0,0,0,1,1,0,,,z,1,0.267340898514,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,0,0,0,0,1,0,2,1,,,m,1,0.262510061264,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,0,0,0,0,1,1,3,0,,,z,1,0.367280006409,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
,,,,,,,0,0,0,0,,,,,,,,,,space,4.53973793983,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,1,0,1,0,0,0,0,0,,,z,1,0.400526046753,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,1,0,1,0,0,1,1,0,,,z,1,0.413113832474,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,1,0,1,0,1,0,2,1,,,m,1,0.267119169235,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,1,0,1,0,1,1,3,1,,,m,1,0.300660133362,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
,,,,,,,1,0,1,0,,,,,,,,,,space,3.25933790207,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,2,0,2,0,0,0,0,1,,,m,1,0.250781059265,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,2,0,2,0,0,1,1,0,,,z,1,0.350515842438,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,2,0,2,0,1,0,2,0,,,z,1,0.284142017365,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,2,0,2,0,1,1,3,1,,,m,1,0.217144966125,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
,,,,,,,2,0,2,0,,,,,,,,,,space,2.99047589302,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,3,0,3,0,0,0,0,0,,,z,1,0.300668954849,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,3,0,3,0,0,1,1,1,,,m,1,0.284148931503,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
z,0,-200,,,,,3,0,3,0,1,0,2,0,,,z,1,0.284245014191,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
m,0,200,,,,,3,0,3,0,1,1,3,1,,,m,1,0.233887910843,,,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
,,,,,,,3,0,3,0,,,,,,,,,,space,2.6980240345,LearningTask,,,59.9197413666,3,2015_Mar_31_0958,3006,
