corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.366112947464,,,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,z,1,0.367110967636,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,m,1,0.434061050415,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,0.400442838669,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,m,1,0.417434930801,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.521909952164,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.367115020752,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,z,1,0.467525005341,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,4,0,8,0,,,z,1,0.467825889587,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,4,1,9,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,m,1,0.417680978775,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,m,1,0.463814973831,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,m,1,0.451171159744,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,z,1,0.417573928833,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,z,1,0.450820922852,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,m,1,0.417585849762,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,m,1,0.501039981842,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,11,0,22,0,,,z,1,0.484555959702,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,11,1,23,0,,,z,1,0.451085090637,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,12,0,24,1,,,m,1,0.56809592247,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,0.484477043152,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,m,1,0.350798845291,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,z,1,0.417644023895,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,14,1,29,1,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,15,0,30,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,z,1,0.484181880951,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
m,0,200,,,,,0,0,0,0,None,16,0,32,1,,,m,1,0.417371034622,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
z,0,-200,,,,,0,0,0,0,None,16,1,33,0,,,None,0,,LearningTask,,,59.9624868475,3,2015_Mar_31_1144,3020,
