corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,1.73840403557,,,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,z,1,0.36292886734,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.467533826828,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,z,1,0.601032018661,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,m,1,0.517452955246,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,m,1,0.450792074203,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.667877197266,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.550835132599,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,z,1,0.450921058655,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,m,1,0.300728082657,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,m,1,0.383687019348,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,z,1,0.300354003906,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,z,1,0.367589950562,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,z,1,0.45117521286,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,m,1,0.300880908966,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,z,1,0.350958108902,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,m,1,0.317323923111,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
z,0,-200,,,,,0,0,0,0,None,10,1,21,0,,,None,0,,,,LearningTask,,,59.8809890926,3,2015_Mar_31_1251,3040,
