corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,BeginningSSD,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.339247941971,,,,,,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,0,0,0,1,,,m,1,0.300806045532,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,0.333929777145,0.75,0.75,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,z,1,0.450788974762,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,0.367298126221,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,2,0,4,1,,,m,1,0.368040084839,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,2,1,5,1,,,m,1,0.317331075668,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,3,0,6,1,,,m,1,0.350766897202,0.6,0.6,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,None,0,,0.6,0.6,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,None,0,,0.6,0.6,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,None,0,,0.7,0.7,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,6,1,13,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,None,0,,0.95,0.95,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,11,0,22,1,,,None,0,,0.85,0.85,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,11,1,23,0,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,None,0,,1.0,1.0,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,12,1,25,1,,,None,0,,-1,-1,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
z,0,-200,,,,,0,0,0,0,None,13,0,26,0,,,None,0,,1.0,1.0,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,None,0,,0.9,0.9,LearningTask,,,61.1419033666,3,2015_Mar_31_1310,3052,
