corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,BeginningSSD,EndingSSD,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.926931858063,,,,,,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,None,0,-1,-1,,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,0,1,1,0,,,z,1,-1,-1,0.384065151215,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,1,0,2,1,,,m,1,-1,-1,0.234185934067,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,1,1,3,0,,,z,1,-1,-1,0.233963012695,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,z,1,0.2,0.2,0.367439985275,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,z,1,0.2,0.2,0.316910028458,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,z,1,0.2,0.2,0.500908851624,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,3,1,7,1,,,m,1,0.2,0.2,0.28396487236,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,m,1,-1,-1,0.334199905396,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,m,1,-1,-1,0.30068397522,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,z,1,-1,-1,0.233994007111,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,m,1,0.1,0.1,0.317609786987,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,z,1,-1,-1,0.267236948013,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,m,1,-1,-1,0.284210920334,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,7,0,14,1,,,m,1,0.05,0.05,0.529321193695,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,m,1,0.05,0.05,0.43424487114,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,z,1,-1,-1,0.417278051376,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,m,1,-1,-1,0.33407998085,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,z,1,-1,-1,0.384051084518,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,m,1,1.38777878078e-17,1.38777878078e-17,0.4674680233,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,m,1,1.38777878078e-17,1.38777878078e-17,0.300888776779,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,10,1,21,0,,,z,1,1.38777878078e-17,1.38777878078e-17,0.321059942245,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,11,0,22,0,,,z,1,1.38777878078e-17,1.38777878078e-17,0.417451143265,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,11,1,23,1,,,m,1,-1,-1,0.317608118057,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,z,1,-1,-1,0.317747831345,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,-1,-1,0.333930015564,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,m,1,-1,-1,0.31761097908,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,13,1,27,0,,,z,1,-1,-1,0.267462015152,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,14,0,28,1,,,m,1,-0.1,-0.1,0.283972024918,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,14,1,29,1,,,m,1,-1,-1,0.317234992981,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,15,0,30,1,,,m,1,-1,-1,0.334347009659,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,z,1,-1,-1,0.267645120621,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
m,0,200,,,,,0,0,0,0,None,16,0,32,1,,,m,1,-0.2,-0.2,0.3509349823,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
z,0,-200,,,,,0,0,0,0,None,16,1,33,0,,,z,1,-1,-1,0.31787109375,LearningTask,,,59.9509164221,3,2015_Mar_31_1320,3060,
