corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,1.05308914185,,,,,,,,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,0,0,0,0,,,-1,go,circlegreen.gif,z,1,0.400784015656,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,0,1,1,1,,,0.25,stop,linewhite.gif,m,1,0.367686033249,0.25,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,1,0,2,0,,,-1,go,diamondyellow.gif,z,1,0.300673007965,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,1,1,3,1,,,-1,go,triangleorange.gif,m,1,0.288188934326,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,2,0,4,0,,,-1,go,crossmagenta.gif,z,1,0.284013032913,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,2,1,5,0,,,0.1,stop,squaregray.gif,z,1,0.414124011993,0.1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,3,0,6,0,,,-1,go,triangleorange.gif,z,1,0.333984851837,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,3,1,7,0,,,-1,go,diamondyellow.gif,z,1,0.350295066833,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,4,0,8,1,,,-1,go,linewhite.gif,m,1,0.270880222321,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,-1,go,hexagoncyan.gif,m,1,0.383815050125,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,5,0,10,1,,,-1,go,diamondyellow.gif,m,1,0.333961009979,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,5,1,11,1,,,0.05,stop,squaregray.gif,m,1,0.367513179779,0.05,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,1.38777878078e-17,stop,linewhite.gif,z,1,0.350787878036,1.38777878078e-17,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,-1,go,linewhite.gif,m,1,0.41737818718,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,-1,go,hexagoncyan.gif,z,1,0.334421873093,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,7,1,15,0,,,-0.05,stop,squaregray.gif,z,1,0.384055137634,-0.05,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,8,0,16,0,,,-1,go,invertedtriangleblue.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,8,1,17,1,,,-1,go,crossmagenta.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,1.38777878078e-17,stop,linewhite.gif,None,0,,1.38777878078e-17,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,9,1,19,0,,,-1,go,hexagoncyan.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,-1,go,triangleorange.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,0.1,stop,hexagoncyan.gif,None,0,,0.1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,11,0,22,1,,,0.1,stop,squaregray.gif,None,0,,0.1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,11,1,23,1,,,0.1,stop,squaregray.gif,None,0,,0.1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,0.05,stop,squaregray.gif,None,0,,0.05,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,-1,go,hexagoncyan.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,0.1,stop,linewhite.gif,None,0,,0.1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,-1,go,crossmagenta.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,-1,go,crossmagenta.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,14,1,29,1,,,0.15,stop,squaregray.gif,None,0,,0.15,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,15,0,30,1,,,0.15,stop,linewhite.gif,None,0,,0.15,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,0.15,stop,squaregray.gif,None,0,,0.15,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
z,0,-200,,,,,0,0,0,0,None,16,0,32,0,,,-1,go,hexagoncyan.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
m,0,200,,,,,0,0,0,0,None,16,1,33,1,,,-1,go,crossmagenta.gif,None,0,,-1,LearningTask,,,59.9613724641,3,2015_Mar_31_1324,3070,
