xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.506318092346,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,0,0,4,0,0,0,0,None,,,,,,,,,,w,1,0.652746200562,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,0,0,4,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,1,1,1,0,0,0,0,None,,,,,,,,,,q,1,0.38264799118,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,1,1,1,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,2,2,0,0,0,0,0,None,,,,,,,,,,s,0,0.400532960892,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,2,2,0,1,0,1,0,None,,,,,,,,,,w,1,0.385847091675,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,2,2,0,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,3,3,5,0,0,0,0,None,,,,,,,,,,q,1,0.368089914322,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,3,3,5,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,s,-200,0,4,4,6,0,0,0,0,None,,,,,,,,,,s,1,0.436071872711,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,s,-200,0,4,4,6,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,a,-200,0,5,5,3,0,0,0,0,None,,,,,,,,,,a,1,0.430312156677,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,a,-200,0,5,5,3,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,6,6,8,0,0,0,0,None,,,,,,,,,,w,1,0.383866786957,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,w,200,0,6,6,8,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,7,7,9,0,0,0,0,None,,,,,,,,,,q,1,0.434033870697,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,q,200,0,7,7,9,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,s,-200,0,8,8,2,0,0,0,0,None,,,,,,,,,,s,1,0.353070020676,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
200,s,-200,0,8,8,2,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,a,-200,0,9,9,7,0,0,0,0,None,,,,,,,,,,a,1,0.368762969971,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
-200,a,-200,0,9,9,7,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.6652444007,3,2015_Apr_12_1103,32,
