xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.249669075012,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,t,1,0.334289073944,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,t,200,0,0,0,1,1,0,1,0,,,,,,,,t,1,0.434533834457,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,h,1,0.384392976761,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,h,1,0.351250886917,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,,g,1,0.350822925568,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,g,-200,1,0,4,3,0,0,0,0,,,,,,,,g,1,0.351189136505,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,g,-200,1,0,4,3,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,y,200,1,1,5,0,0,0,0,0,,,,,,,,y,1,0.267388105392,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,y,200,1,1,5,0,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,t,200,1,2,6,1,0,0,0,0,,,,,,,,t,1,0.317441940308,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
-200,t,200,1,2,6,1,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,y,200,1,3,7,0,0,0,0,0,,,,,,,,y,1,0.384346961975,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
200,y,200,1,3,7,0,,,,,,,,,,,,,,,LearningTask,,,59.9372947575,3,2015_Mar_18_1631,40,
