xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,resp.keys,resp.corr,resp.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.56085896492,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.325458049774,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.618891000748,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,q,200,,,,,,,,,0,0,0,0,None,0,0,0,1,0,0,0,0,None,,,,,q,1,0.520180940628,2.13,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,q,200,,,,,,,,,0,0,0,0,None,0,0,0,1,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,0,0,0,0,None,,,,,w,1,0.283895015717,0.28,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,a,-200,,,,,,,,,0,0,0,0,None,0,2,2,3,0,0,0,0,None,,,,,s,0,0.333076953888,2.2,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,a,-200,,,,,,,,,0,0,0,0,None,0,2,2,3,1,0,1,0,None,,,,,a,1,0.301646947861,1.99,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,a,-200,,,,,,,,,0,0,0,0,None,0,2,2,3,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,w,200,,,,,,,,,0,0,0,0,None,0,3,3,0,0,0,0,0,None,,,,,w,1,0.333660125732,0.99,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,w,200,,,,,,,,,0,0,0,0,None,0,3,3,0,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,a,-200,,,,,,,,,0,0,0,0,None,1,0,4,3,0,0,0,0,None,,,,,a,1,0.466806173325,4.11,LearningTask,,,None,3,2015_Apr_12_1435,41,
-200,a,-200,,,,,,,,,0,0,0,0,None,1,0,4,3,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,s,-200,,,,,,,,,0,0,0,0,None,1,1,5,2,0,0,0,0,None,,,,,w,0,0.453503131866,0.73,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,s,-200,,,,,,,,,0,0,0,0,None,1,1,5,2,1,0,1,0,None,,,,,s,1,0.382817029953,0.67,LearningTask,,,None,3,2015_Apr_12_1435,41,
200,s,-200,,,,,,,,,0,0,0,0,None,1,1,5,2,,,,,,,,,,,,,,LearningTask,,,None,3,2015_Apr_12_1435,41,
