xPos,location,ShapeStimulus,Shape,yPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,space,0.396464824677,,,,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,None,None,None,200,t,0,0,0,14,,,g,0,0.434595108032,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,up_left,circlewhite.gif,Square,200,t,0,1,1,10,,,t,1,0.484326124191,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,down_left,hexagonyellow.gif,Line,-200,g,0,2,2,24,,,g,1,0.450708866119,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,down_right,diamondgray.gif,Line,-200,h,0,3,3,16,,,h,1,0.534304141998,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,None,None,None,-200,g,0,4,4,31,,,g,1,0.617678880692,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,down_right,diamondorange.gif,Triangle,-200,h,0,5,5,17,,,h,1,0.50072312355,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,down_left,hexagonmagenta.gif,Triangle,-200,g,0,6,6,25,,,g,1,0.467597007751,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,None,None,None,-200,g,0,7,7,30,,,g,1,0.467563867569,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,None,None,None,200,y,0,8,8,4,,,y,1,0.434135913849,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,None,None,None,200,y,0,9,9,6,,,y,1,0.484104156494,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,None,None,None,-200,g,0,10,10,28,,,g,1,0.45076417923,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,down_left,hexagongreen.gif,Square,-200,g,0,11,11,26,,,g,1,0.467386007309,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,down_left,hexagongray.gif,Circle,-200,g,0,12,12,27,,,g,1,0.667568922043,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,up_right,crossorange.gif,Square,200,y,0,13,13,2,,,y,1,0.484266996384,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,None,None,None,200,y,0,14,14,7,,,y,1,0.534110069275,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,None,None,None,-200,h,0,15,15,23,,,h,1,0.434000015259,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
-200,None,None,None,-200,g,0,16,16,29,,,g,1,0.517710924149,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,up_right,crossgray.gif,Triangle,200,y,0,17,17,1,,,y,1,0.60084605217,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,up_right,crossyellow.gif,Circle,200,y,0,18,18,3,,,y,1,0.651083946228,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
200,None,None,None,200,y,0,19,19,5,,,y,1,0.467923879623,LearningTask,,,59.9359243667,3,2015_Mar_05_1259,41,
