xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,3.13872599602,,,,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
-200,q,200,0,0,0,9,,,,,,,,,,,,,,,q,1,0.418773889542,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
-200,a,-200,0,1,1,7,,,,,,,,,,,,,,,a,1,0.367695093155,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
-200,q,200,0,2,2,1,,,,,,,,,,,,,,,q,1,0.350661039352,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
200,w,200,0,3,3,8,,,,,,,,,,,,,,,w,1,0.367316961288,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
-200,q,200,0,4,4,5,,,,,,,,,,,,,,,q,1,0.367518901825,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
200,s,-200,0,5,5,2,,,,,,,,,,,,,,,s,1,0.284358024597,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
200,w,200,0,6,6,0,,,,,,,,,,,,,,,w,1,0.284064054489,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
200,s,-200,0,7,7,6,,,,,,,,,,,,,,,s,1,0.284460067749,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
-200,a,-200,0,8,8,3,,,,,,,,,,,,,,,a,1,0.23420214653,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
200,w,200,0,9,9,4,,,,,,,,,,,,,,,w,1,0.350914955139,LearningTask,,,59.9628297431,3,2015_Apr_01_1407,435,
