xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,resp.keys,resp.corr,resp.rt,computedRewardOutput,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,EndingSSD,goResp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.28366589546,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.49740099907,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.36731982231,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
-200,a,-200,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434423923492,0.78,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
-200,q,200,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.3680331707,0.9,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
-200,q,200,,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400288820267,4.02,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,s,-200,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.317541837692,1.97,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,s,-200,,,,,,,,,,,,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.33441400528,2.03,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,w,200,,,,,,,,,,,,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334283828735,0.75,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
200,s,-200,,,,,,,,,,,,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367927074432,3.89,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9890728827,3,2015_Apr_10_1436,4,
