xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.419970989,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,0,0,0,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.400451899,0.509736061,0.002851963,7.524438143,#VALUE!,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,0,1,1,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.334100962,0.507712126,0.0011971,9.893002987,2.368564844,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,2,2,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.517544031,0.513744116,0.001381159,12.46157002,2.568567038,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,0,3,3,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.450845003,0.50615716,0.00098896,14.96366906,2.502099037,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,0,4,4,6,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,0,0.484192133,0.513027906,0.001679897,17.51557517,2.551906109,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,0,4,4,6,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.550894976,0.516709089,0.001026869,20.0841291,2.568553925,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,0,5,5,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.467737913,0.503314972,0.001590967,22.61971712,2.535588026,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,q,200,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
