xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,resp.keys,resp.corr,resp.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.362626791,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.143074989319,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.549828052521,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,w,200,,,,,,,,,0,0,0,0,None,0,0,0,0,0,0,0,0,None,,,,,w,1,0.384250879288,3.83,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,w,200,,,,,,,,,0,0,0,0,None,0,0,0,0,,,,,,,,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
-200,q,200,,,,,,,,,0,0,0,0,None,0,1,1,1,0,0,0,0,None,,,,,q,1,0.701012134552,0.75,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
-200,q,200,,,,,,,,,0,0,0,0,None,0,1,1,1,,,,,,,,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,w,200,,,,,,,,,0,0,0,0,None,0,2,2,0,0,0,0,0,None,,,,,s,0,0.366902112961,1.87,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,w,200,,,,,,,,,0,0,0,0,None,0,2,2,0,1,0,1,0,None,,,,,w,1,0.350723028183,1.96,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,w,200,,,,,,,,,0,0,0,0,None,0,2,2,0,,,,,,,,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
-200,q,200,,,,,,,,,0,0,0,0,None,0,3,3,1,0,0,0,0,None,,,,,q,1,0.416253089905,2.12,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
-200,q,200,,,,,,,,,0,0,0,0,None,0,3,3,1,,,,,,,,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,s,-200,,,,,,,,,0,0,0,0,None,1,0,4,2,0,0,0,0,None,,,,,s,1,0.433665037155,0.92,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
200,s,-200,,,,,,,,,0,0,0,0,None,1,0,4,2,,,,,,,,,,,,,,LearningTask,,,60.0564151468,3,2015_Apr_12_1452,50,
